Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISFLO,
Clearing Corporation of India Ltd,,,,701.1646,0.0461,Axis Mutual Fund,AXISFLO,
Sub Total,,,,701.1646,0.0461,Axis Mutual Fund,AXISFLO,
Total,,,,701.1646,0.0461,Axis Mutual Fund,AXISFLO,
Net Receivables / (Payables),,,,263.0423,0.0173,Axis Mutual Fund,AXISFLO,
GRAND TOTAL,,,,15221.45,1,Axis Mutual Fund,AXISFLO,
,,,,,,Axis Mutual Fund,AXISFLO,
ZCB - Zero Coupon Bond,,,,,,Axis Mutual Fund,AXISFLO,
,,,,,,Axis Mutual Fund,AXISFLO,
$  Less Than 0.01% of Net Asset Value ,,,,,,Axis Mutual Fund,AXISFLO,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISFLO,
,,,,,,Axis Mutual Fund,AXISFLO,
,,,,,,Axis Mutual Fund,AXISFLO,
,,,,,,Axis Mutual Fund,AXISFLO,
,,,,,,Axis Mutual Fund,AXISFLO,
,Benchmark Name - NIFTY MEDIUM TO LONG DURATION DEBT INDEX A-III,,,,,Axis Mutual Fund,AXISFLO,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISFLO,
Equity & Equity related,,,,,,Axis Mutual Fund,AXISIFD,
(a) Listed / awaiting listing on Stock Exchanges,,,,,,Axis Mutual Fund,AXISIFD,
Knowledge Realty Trust,INE1JAR25012,,630168.0,764.7089,0.0037,Axis Mutual Fund,AXISIFD,Realty
Indus Infra Trust,INE0NHL23019,,97180.0,114.6627,0.0006,Axis Mutual Fund,AXISIFD,Transport Infrastructure
Embassy Office Parks REIT,INE041025011,,26120.0,111.8432,0.0005,Axis Mutual Fund,AXISIFD,Realty
Sub Total,,,,991.2148,0.0048,Axis Mutual Fund,AXISIFD,
(b) Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISIFD,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISIFD,
Total,,,,991.2148,0.0048,Axis Mutual Fund,AXISIFD,
Derivatives,,,,,,Axis Mutual Fund,AXISIFD,
Interest Rate Swaps,,,,,,Axis Mutual Fund,AXISIFD,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (14/07/2027) (FV 5000 Lacs),,,,-1.53,$0.00%,Axis Mutual Fund,AXISIFD,
Sub Total,,,,-1.53,$0.00%,Axis Mutual Fund,AXISIFD,
Total,,,,-1.53,$0.00%,Axis Mutual Fund,AXISIFD,
Debt Instruments,,,,,,Axis Mutual Fund,AXISIFD,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISIFD,
6.48% Government of India (06/10/2035),IN0020250091,,11800000.0,11700.3136,0.0569,Axis Mutual Fund,AXISIFD,Sovereign
7.1% Government of India (08/04/2034),IN0020240019,,11200000.0,11504.1584,0.0559,Axis Mutual Fund,AXISIFD,Sovereign
6.68% Government of India (07/07/2040),IN0020250042,,7500000.0,7277.7525,0.0354,Axis Mutual Fund,AXISIFD,Sovereign
Jubilant Beverages Limited (31/05/2028) (ZCB) ,INE1D4O08012,,6500.0,6928.129,0.0337,Axis Mutual Fund,AXISIFD,CRISIL AA
8.58% GMR Hyderabad International Airport Limited (28/03/2034) ,INE802J07035,,6500.0,6537.414,0.0318,Axis Mutual Fund,AXISIFD,
7.18% Tamilnadu State Development Loans (03/12/2033),IN3120250458,,6358600.0,6329.9164,0.0308,Axis Mutual Fund,AXISIFD,Sovereign
9.40% Vedanta Limited (20/02/2027) ,INE205A08038,,6000.0,6030.294,0.0293,Axis Mutual Fund,AXISIFD,ICRA AA
9.75% Nuvama Wealth Finance Limited (17/01/2028) ,INE918K07PU7,,5800.0,5818.9428,0.0283,Axis Mutual Fund,AXISIFD,CARE AA
9.5% Delhi International Airport Limited (22/03/2034) ,INE657H08043,,5500.0,5645.4805,0.0274,Axis Mutual Fund,AXISIFD,ICRA AA
6.79% Government of India (07/10/2034),IN0020240126,,5531900.0,5573.5995,0.0271,Axis Mutual Fund,AXISIFD,Sovereign
8.8% Aditya Birla Digital Fashion Ventures Limited (26/08/2027) ,INE0M8D08016,,5500.0,5513.618,0.0268,Axis Mutual Fund,AXISIFD,CRISIL AA-
8.65% Aadhar Housing Finance Limited (20/08/2027) ,INE883F07330,,5200.0,5274.2716,0.0256,Axis Mutual Fund,AXISIFD,ICRA AA
8.5% Nirma Limited (07/04/2027) ,INE091A07208,,5000.0,5041.9,0.0245,Axis Mutual Fund,AXISIFD,CRISIL AA
9.4% IKF Finance Limited (12/08/2027) ,INE859C07246,,4500.0,4475.5785,0.0217,Axis Mutual Fund,AXISIFD,CARE A+
7.96% Lodha Developers Limited (07/07/2028) ,INE670K07299,,4200.0,4197.6186,0.0204,Axis Mutual Fund,AXISIFD,ICRA AA
8.95% Aptus Finance India Private Limited (06/03/2029) ,INE04MH07059,,5000.0,4055.315,0.0197,Axis Mutual Fund,AXISIFD,CARE AA
Bamboo Hotel And Global Centre (Delhi) Private limited (31/01/2028) ,INE755L07015,,4000.0,4049.92,0.0197,Axis Mutual Fund,AXISIFD,ICRA A+(CE)
9.5% Keystone Realtors Limited (29/09/2028) ,INE263M07109,,4000.0,3996.44,0.0194,Axis Mutual Fund,AXISIFD,ICRA A+
9.5% Kogta Financial (India) Limited (30/10/2027) ,INE192U07376,,4000.0,3949.536,0.0192,Axis Mutual Fund,AXISIFD,CARE A+
JTPM Metal Traders Limited (29/09/2028) (ZCB) ,INE02PE08036,,3500.0,3600.4605,0.0175,Axis Mutual Fund,AXISIFD,CRISIL AA
8.60% Aditya Birla Renewables Limited (24/09/2027) ,INE01QP08016,,3500.0,3538.787,0.0172,Axis Mutual Fund,AXISIFD,CRISIL AA
9.4% IndoStar Capital Finance Limited (18/06/2027) ,INE896L07AL4,,3500.0,3514.0875,0.0171,Axis Mutual Fund,AXISIFD,CARE AA-
Jubilant Bevco Limited (31/05/2028) (ZCB) ,INE1D4P08019,,3000.0,3214.398,0.0156,Axis Mutual Fund,AXISIFD,CRISIL AA
9.9% Tyger Capital Private Limited (13/08/2027) ,INE01EQ07137,,3200.0,3200.1952,0.0156,Axis Mutual Fund,AXISIFD,CRISIL A+
8.06% Summit Digitel Infrastructure Limited (29/01/2029) ,INE507T07120,,3000.0,3078.591,0.015,Axis Mutual Fund,AXISIFD,CRISIL AAA
6.76% Maharashtra State Development Loans (23/04/2037),IN2220250012,,3000000.0,2859.873,0.0139,Axis Mutual Fund,AXISIFD,Sovereign
6.9% Government of India (15/04/2065),IN0020250018,,2800000.0,2635.4188,0.0128,Axis Mutual Fund,AXISIFD,Sovereign
8.3% Tata Projects Limited (07/01/2028) ,INE725H08238,,2500.0,2532.67,0.0123,Axis Mutual Fund,AXISIFD,CRISIL AA
8.15% Godrej Industries Limited (22/11/2029) ,INE233A08147,,2500.0,2531.41,0.0123,Axis Mutual Fund,AXISIFD,CRISIL AA+
9.3% JM Financial Credit Solution Limited (15/02/2027) ,INE651J07986,,2500.0,2525.6625,0.0123,Axis Mutual Fund,AXISIFD,ICRA AA
7.49% punjab State Development Loans (03/12/2035),IN2820250149,,2500000.0,2502.09,0.0122,Axis Mutual Fund,AXISIFD,Sovereign
6.94% Power Grid Corporation of India Limited (15/04/2035),INE752E08783,,2500.0,2465.07,0.012,Axis Mutual Fund,AXISIFD,CRISIL AAA
6.28% Government of India (14/07/2032),IN0020250059,,2500000.0,2463.885,0.012,Axis Mutual Fund,AXISIFD,Sovereign
7.80% Mahanagar Telephone Nigam Limited (07/11/2033) ,INE153A08170,,2400.0,2398.872,0.0117,Axis Mutual Fund,AXISIFD,CARE AAA(CE)
7.26% Government of India (06/02/2033),IN0020220151,,2079400.0,2150.7608,0.0105,Axis Mutual Fund,AXISIFD,Sovereign
7.73% Embassy Office Parks REIT (14/12/2029) ,INE041007159,,2000.0,2036.53,0.0099,Axis Mutual Fund,AXISIFD,CRISIL AAA
5% GMR Airports Limited (13/02/2027) ,INE776C08083,,2000.0,2030.852,0.0099,Axis Mutual Fund,AXISIFD,CRISIL A+
9.95% IndoStar Capital Finance Limited (27/05/2026) ,INE896L07AI0,,2000.0,2012.018,0.0098,Axis Mutual Fund,AXISIFD,CARE AA-
9.65% Vistaar Financial Services Private Limited (18/06/2026) ,INE016P07229,,4000.0,2003.404,0.0097,Axis Mutual Fund,AXISIFD,CARE A+
7.55% L&T Metro Rail (Hyderabad) Limited (28/04/2035) ,INE128M08094,,2000.0,1987.904,0.0097,Axis Mutual Fund,AXISIFD,CRISIL AAA(CE)
7.18% Government of India (14/08/2033),IN0020230085,,1900000.0,1959.8823,0.0095,Axis Mutual Fund,AXISIFD,Sovereign
7.20% National Bank For Agriculture and Rural Development (21/10/2031) ,INE261F08691,,150.0,1515.867,0.0074,Axis Mutual Fund,AXISIFD,CRISIL AAA
8.65% TVS Holdings Limited (07/06/2029) ,INE105A08022,,1500.0,1512.042,0.0073,Axis Mutual Fund,AXISIFD,CRISIL AA+
8.6% Infopark Properties Limited (19/06/2039) ,INE0KZX07023,,1500.0,1506.159,0.0073,Axis Mutual Fund,AXISIFD,CARE AA-
7.86% Jharkhand State Development Loans (09/11/2034),IN3720220018,,1000000.0,1031.028,0.005,Axis Mutual Fund,AXISIFD,Sovereign
7.45% Altius Telecom Infrastructure Trust (20/04/2035) ,INE0BWS07045,,1000.0,1007.031,0.0049,Axis Mutual Fund,AXISIFD,CRISIL AAA
9.31% Vedanta Limited (03/12/2027) ,INE205A08046,,1000.0,1005.187,0.0049,Axis Mutual Fund,AXISIFD,CRISIL AA
8.75% Aptus Value Housing Finance India Limited (11/03/2030) ,INE852O07154,,800.0,801.04,0.0039,Axis Mutual Fund,AXISIFD,CARE AA
8.50% Aadhar Housing Finance Limited (26/05/2026) ,INE883F07306,,500.0,501.59,0.0024,Axis Mutual Fund,AXISIFD,IND AA
9.75% Veritas Finance Private Limited (28/11/2026) ,INE448U07240,,500.0,501.482,0.0024,Axis Mutual Fund,AXISIFD,CARE AA-
7.24% Government of India (18/08/2055),IN0020250075,,500000.0,495.8235,0.0024,Axis Mutual Fund,AXISIFD,Sovereign
7.57% Government of India (17/06/2033),IN0020190065,,300000.0,315.8463,0.0015,Axis Mutual Fund,AXISIFD,Sovereign
7.34% Government of India (22/04/2064),IN0020240035,,300000.0,298.0788,0.0014,Axis Mutual Fund,AXISIFD,Sovereign
7.26% Government of India (22/08/2032),IN0020220060,,200000.0,207.0076,0.001,Axis Mutual Fund,AXISIFD,Sovereign
7.46% Karnataka State Development Loans (20/03/2038),IN1920230365,,183700.0,184.8327,0.0009,Axis Mutual Fund,AXISIFD,Sovereign
7.88% Government of India (19/03/2030),IN0020150028,,150000.0,159.2358,0.0008,Axis Mutual Fund,AXISIFD,Sovereign
8.49% National Highways Authority Of India (05/02/2029) ,INE906B07GO3,,12.0,125.29,0.0006,Axis Mutual Fund,AXISIFD,CRISIL AAA
7.1% Government of India (18/04/2029),IN0020220011,,100000.0,103.4676,0.0005,Axis Mutual Fund,AXISIFD,Sovereign
7.23% Government of India (15/04/2039),IN0020240027,,98700.0,100.9902,0.0005,Axis Mutual Fund,AXISIFD,Sovereign
5.85% REC Limited (20/12/2025) ,INE020B08DF6,,6.0,60,0.0003,Axis Mutual Fund,AXISIFD,CRISIL AAA
7.26% Government of India (14/01/2029),IN0020180454,,48900.0,50.7934,0.0002,Axis Mutual Fund,AXISIFD,Sovereign
5.79% Government of India (11/05/2030),IN0020200070,,49400.0,48.3556,0.0002,Axis Mutual Fund,AXISIFD,Sovereign
8.60% Government of India (02/06/2028),IN0020140011,,42000.0,44.5676,0.0002,Axis Mutual Fund,AXISIFD,Sovereign
7.35% Embassy Office Parks REIT (05/04/2027) ,INE041007092,,1.0,10.0243,$0.00%,Axis Mutual Fund,AXISIFD,CRISIL AAA
8.15% Government of India (24/11/2026),IN0020140060,,9400.0,9.6167,$0.00%,Axis Mutual Fund,AXISIFD,Sovereign
7.59% Government of India (20/03/2029),IN0020150069,,4000.0,4.1962,$0.00%,Axis Mutual Fund,AXISIFD,Sovereign
Sub Total,,,,182742.5722,0.8881,Axis Mutual Fund,AXISIFD,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISIFD,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISIFD,
(c) Securitised Debt,,,,,,Axis Mutual Fund,AXISIFD,
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,,19.0,1921.4344,0.0093,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO)
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,,19.0,1919.1964,0.0093,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO)
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,,12.0,1209.0925,0.0059,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO)
Sub Total,,,,5049.7232,0.0245,Axis Mutual Fund,AXISIFD,
Total,,,,187792.2954,0.9126,Axis Mutual Fund,AXISIFD,
Others,,,,,,Axis Mutual Fund,AXISIFD,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISIFD,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4918.583,567.3545,0.0028,Axis Mutual Fund,AXISIFD,
Sub Total,,,,567.3545,0.0028,Axis Mutual Fund,AXISIFD,
Total,,,,567.3545,0.0028,Axis Mutual Fund,AXISIFD,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISIFD,
Clearing Corporation of India Ltd,,,,7000.8587,0.034,Axis Mutual Fund,AXISIFD,
Sub Total,,,,7000.8587,0.034,Axis Mutual Fund,AXISIFD,
Total,,,,7000.8587,0.034,Axis Mutual Fund,AXISIFD,
Net Receivables / (Payables),,,,9428.7866,0.0458,Axis Mutual Fund,AXISIFD,
GRAND TOTAL,,,,205778.98,1,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
ZCB - Zero Coupon Bond,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
$  Less Than 0.01% of Net Asset Value ,,,,,,Axis Mutual Fund,AXISIFD,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,Benchmark Name - NIFTY MEDIUM DURATION DEBT INDEX A-III,,,,,Axis Mutual Fund,AXISIFD,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISIFD,
Debt Instruments,,,,,,Axis Mutual Fund,AXISLDF,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISLDF,
7.34% Government of India (22/04/2064),IN0020240035,,9725300.0,9663.0192,0.3477,Axis Mutual Fund,AXISLDF,Sovereign
7.25% Government of India (12/06/2063),IN0020230044,,6500000.0,6384.8915,0.2297,Axis Mutual Fund,AXISLDF,Sovereign
7.36% Government of India (12/09/2052),IN0020220086,,4800000.0,4834.3296,0.1739,Axis Mutual Fund,AXISLDF,Sovereign
7.09% Government of India (05/08/2054),IN0020240118,,3000000.0,2922.741,0.1052,Axis Mutual Fund,AXISLDF,Sovereign
7.24% Government of India (18/08/2055),IN0020250075,,2500000.0,2479.1175,0.0892,Axis Mutual Fund,AXISLDF,Sovereign
7.3% Government of India (19/06/2053),IN0020230051,,285800.0,285.7751,0.0103,Axis Mutual Fund,AXISLDF,Sovereign
Sub Total,,,,26569.8739,0.9559,Axis Mutual Fund,AXISLDF,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISLDF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISLDF,
Total,,,,26569.8739,0.9559,Axis Mutual Fund,AXISLDF,
Others,,,,,,Axis Mutual Fund,AXISLDF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISLDF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,1344.408,155.0764,0.0056,Axis Mutual Fund,AXISLDF,
Sub Total,,,,155.0764,0.0056,Axis Mutual Fund,AXISLDF,
Total,,,,155.0764,0.0056,Axis Mutual Fund,AXISLDF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISLDF,
Clearing Corporation of India Ltd,,,,658.5065,0.0237,Axis Mutual Fund,AXISLDF,
Sub Total,,,,658.5065,0.0237,Axis Mutual Fund,AXISLDF,
Total,,,,658.5065,0.0237,Axis Mutual Fund,AXISLDF,
Net Receivables / (Payables),,,,411.7432,0.0148,Axis Mutual Fund,AXISLDF,
GRAND TOTAL,,,,27795.2,1,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,Benchmark Name - NIFTY LONG DURATION DEBT INDEX A-III,,,,,Axis Mutual Fund,AXISLDF,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISLDF,
Debt Instruments,,,,,,Axis Mutual Fund,AXISLFA,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISLFA,
8.69% Tamilnadu State Development Loans (24/02/2026),IN3120150203,Sovereign,10000000.0,10052.01,0.0025,Axis Mutual Fund,AXISLFA,
8.27% Karnataka State Development Loans(23/12/2025),IN1920150068,Sovereign,8500000.0,8501.955,0.0021,Axis Mutual Fund,AXISLFA,
8.27% Haryana State Development Loans (23/12/2025),IN1620150111,Sovereign,8500000.0,8501.938,0.0021,Axis Mutual Fund,AXISLFA,
8.04% HDB Financial Services Limited (25/02/2026) ,INE756I07EL8,CRISIL AAA,750.0,7511.01,0.0019,Axis Mutual Fund,AXISLFA,
8.76% Madhya Pradesh State Development Loans (24/02/2026),IN2120150106,Sovereign,6714000.0,6749.4969,0.0017,Axis Mutual Fund,AXISLFA,
7.924% Kotak Mahindra Prime Limited (20/02/2026) ,INE916DA7RW2,CRISIL AAA,500.0,5006.67,0.0012,Axis Mutual Fund,AXISLFA,
Bajaj Finance Limited (18/02/2026) (ZCB) ,INE296A07RY7,CRISIL AAA,250.0,3171.4475,0.0008,Axis Mutual Fund,AXISLFA,
8.27% Tamilnadu State Development Loans(23/12/2025),IN3120150161,Sovereign,2500000.0,2500.575,0.0006,Axis Mutual Fund,AXISLFA,
8.26% Maharashtra State Development Loans(23/12/2025),IN2220150154,Sovereign,500000.0,500.1145,0.0001,Axis Mutual Fund,AXISLFA,
Sub Total,,,,52495.2169,0.013,Axis Mutual Fund,AXISLFA,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISLFA,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISLFA,
Total,,,,52495.2169,0.013,Axis Mutual Fund,AXISLFA,
Money Market Instruments,,,,,,Axis Mutual Fund,AXISLFA,
Certificate of Deposit,,,,,,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (18/03/2026) ,INE040A16IC5,CARE A1+,25000.0,123198.875,0.0305,Axis Mutual Fund,AXISLFA,
Indian Bank (25/02/2026) ,INE562A16PX9,CRISIL A1+,20000.0,98892.7,0.0245,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (17/03/2026) ,INE040A16IB7,CARE A1+,20000.0,98575.2,0.0244,Axis Mutual Fund,AXISLFA,
Small Industries Dev Bank of India (27/02/2026),INE556F16BB6,CARE A1+,15500.0,76612.935,0.019,Axis Mutual Fund,AXISLFA,
Bank of Baroda (06/03/2026) ,INE028A16HW0,CRISIL A1+,13500.0,66657.5325,0.0165,Axis Mutual Fund,AXISLFA,
Punjab National Bank (03/03/2026) ,INE160A16TR6,IND A1+,13000.0,64222.275,0.0159,Axis Mutual Fund,AXISLFA,
Bank of Baroda (05/03/2026) ,INE028A16KP8,CARE A1+,12000.0,59260.86,0.0147,Axis Mutual Fund,AXISLFA,
Punjab National Bank (13/03/2026) ,INE160A16TU0,IND A1+,11000.0,54252.99,0.0134,Axis Mutual Fund,AXISLFA,
Bank of Baroda (05/01/2026) ,INE028A16JI5,IND A1+,10500.0,52360.455,0.013,Axis Mutual Fund,AXISLFA,
Bank of India (24/02/2026) ,INE084A16FA3,CARE A1+,10000.0,49447.9,0.0123,Axis Mutual Fund,AXISLFA,
Canara Bank (26/02/2026) ,INE476A16E95,CRISIL A1+,10000.0,49436.35,0.0122,Axis Mutual Fund,AXISLFA,
RBL Bank Limited (25/02/2026) ,INE976G16OE1,CARE A1+,10000.0,49408.2,0.0122,Axis Mutual Fund,AXISLFA,
Karur Vysya Bank Limited (13/03/2026) ,INE036D16JM4,ICRA A1+,10000.0,49306.65,0.0122,Axis Mutual Fund,AXISLFA,
Punjab National Bank (18/03/2026) ,INE160A16RK5,CARE A1+,10000.0,49282.35,0.0122,Axis Mutual Fund,AXISLFA,
Union Bank of India (03/02/2026) ,INE692A16IP5,ICRA A1+,9500.0,47137.005,0.0117,Axis Mutual Fund,AXISLFA,
Bank of Baroda (02/01/2026) ,INE028A16JT2,IND A1+,8000.0,39913.6,0.0099,Axis Mutual Fund,AXISLFA,
Union Bank of India (22/12/2025),INE692A16JU3,ICRA A1+,6000.0,29991.42,0.0074,Axis Mutual Fund,AXISLFA,
Indian Bank (19/01/2026) ,INE562A16NW6,CRISIL A1+,6000.0,29851.2,0.0074,Axis Mutual Fund,AXISLFA,
Union Bank of India (27/01/2026) ,INE692A16IM2,CRISIL A1+,6000.0,29808.63,0.0074,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (12/02/2026) ,INE040A16HV7,CARE A1+,6000.0,29726.97,0.0074,Axis Mutual Fund,AXISLFA,
Canara Bank (04/03/2026) ,INE476A16A73,CRISIL A1+,6000.0,29636.58,0.0073,Axis Mutual Fund,AXISLFA,
Indian Bank (12/03/2026) ,INE562A16OI3,CRISIL A1+,6000.0,29598.78,0.0073,Axis Mutual Fund,AXISLFA,
Bank of Baroda (06/01/2026) ,INE028A16KA0,CRISIL A1+,5000.0,24929.425,0.0062,Axis Mutual Fund,AXISLFA,
UCO Bank (12/03/2026) ,INE691A16MB9,CRISIL A1+,5000.0,24659.425,0.0061,Axis Mutual Fund,AXISLFA,
UCO Bank (18/03/2026) ,INE691A16MD5,CRISIL A1+,5000.0,24634.75,0.0061,Axis Mutual Fund,AXISLFA,
Kotak Mahindra Bank Limited (15/01/2026),INE237A162Z2,CRISIL A1+,4900.0,24394.6255,0.006,Axis Mutual Fund,AXISLFA,
Indian Bank (04/02/2026),INE562A16OA0,CRISIL A1+,4500.0,22325.985,0.0055,Axis Mutual Fund,AXISLFA,
Bank of Baroda (11/03/2026),INE028A16HZ3,IND A1+,4500.0,22200.9525,0.0055,Axis Mutual Fund,AXISLFA,
Indian Bank (08/01/2026),INE562A16NV8,CRISIL A1+,4000.0,19936.96,0.0049,Axis Mutual Fund,AXISLFA,
IDBI Bank Limited (05/02/2026) ,INE008A16X73,CRISIL A1+,4000.0,19839.2,0.0049,Axis Mutual Fund,AXISLFA,
Bank of Baroda (24/02/2026) ,INE028A16JJ3,IND A1+,4000.0,19781.06,0.0049,Axis Mutual Fund,AXISLFA,
Bank of India (05/03/2026) ,INE084A16FC9,CARE A1+,4000.0,19752.26,0.0049,Axis Mutual Fund,AXISLFA,
Canara Bank (12/03/2026) ,INE476A16B23,CRISIL A1+,4000.0,19731.92,0.0049,Axis Mutual Fund,AXISLFA,
Bank of Baroda (13/01/2026) ,INE028A16HK5,IND A1+,3000.0,14940.285,0.0037,Axis Mutual Fund,AXISLFA,
Kotak Mahindra Bank Limited (18/02/2026) ,INE237A165Z5,CRISIL A1+,3000.0,14850.96,0.0037,Axis Mutual Fund,AXISLFA,
National Bank For Agriculture and Rural Development (17/02/2026) ,INE261F16959,IND A1+,3000.0,14850.57,0.0037,Axis Mutual Fund,AXISLFA,
Bank of India (10/03/2026),INE084A16EK5,CRISIL A1+,3000.0,14801.985,0.0037,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (22/12/2025),INE040A16HQ7,CRISIL A1+,2500.0,12496.4,0.0031,Axis Mutual Fund,AXISLFA,
Canara Bank (26/12/2025),INE476A16ZW3,CRISIL A1+,2000.0,9991.08,0.0025,Axis Mutual Fund,AXISLFA,
Bank of Baroda (16/01/2026) ,INE028A16HL3,IND A1+,2000.0,9955.23,0.0025,Axis Mutual Fund,AXISLFA,
Union Bank of India (05/03/2026),INE692A16IY7,ICRA A1+,2000.0,9876.81,0.0024,Axis Mutual Fund,AXISLFA,
Kotak Mahindra Bank Limited (13/03/2026) ,INE237A167Z1,CRISIL A1+,2000.0,9864.77,0.0024,Axis Mutual Fund,AXISLFA,
Bank of Baroda (13/03/2026) ,INE028A16IC0,IND A1+,2000.0,9863.85,0.0024,Axis Mutual Fund,AXISLFA,
Punjab National Bank (08/01/2026) ,INE160A16QT8,CRISIL A1+,1500.0,7476.285,0.0019,Axis Mutual Fund,AXISLFA,
National Bank For Agriculture and Rural Development (20/01/2026) ,INE261F16892,CRISIL A1+,1000.0,4974.305,0.0012,Axis Mutual Fund,AXISLFA,
Canara Bank (03/02/2026) ,INE476A16A24,CRISIL A1+,1000.0,4962.315,0.0012,Axis Mutual Fund,AXISLFA,
Bank of Baroda (06/02/2026) ,INE028A16JM7,IND A1+,1000.0,4959.525,0.0012,Axis Mutual Fund,AXISLFA,
Union Bank of India (06/03/2026),INE692A16JB3,ICRA A1+,1000.0,4937.595,0.0012,Axis Mutual Fund,AXISLFA,
IDFC First Bank Limited (27/01/2026) ,INE092T16XY9,CRISIL A1+,500.0,2483.9275,0.0006,Axis Mutual Fund,AXISLFA,
Canara Bank (27/02/2026) ,INE476A16D96,CRISIL A1+,100.0,494.2815,0.0001,Axis Mutual Fund,AXISLFA,
Sub Total,,,,1600546.1945,0.3965,Axis Mutual Fund,AXISLFA,
Commercial Paper,,,,,,Axis Mutual Fund,AXISLFA,
Small Industries Dev Bank of India (12/02/2026) ,INE556F14LQ8,CRISIL A1+,20000.0,99086,0.0245,Axis Mutual Fund,AXISLFA,
Export Import Bank of India (13/02/2026) ,INE514E14SX1,CRISIL A1+,20000.0,99074.4,0.0245,Axis Mutual Fund,AXISLFA,
Small Industries Dev Bank of India (24/02/2026) ,INE556F14LS4,CRISIL A1+,20000.0,98893.1,0.0245,Axis Mutual Fund,AXISLFA,
Reliance Industries Limited (24/12/2025) ,INE002A14LN1,CRISIL A1+,16500.0,82449.4275,0.0204,Axis Mutual Fund,AXISLFA,
