Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",YTM~,YTC^,AMC Name,Scheme Name,Rating,Industry,ESG Score $,Core ESG Score,Link to BRSR
State Bank of India,INE062A01020,Banks,36762.0,361.0764,0.0154,,,Axis Mutual Fund,AXISISF,,,,,
Larsen & Toubro Limited,INE018A01030,Construction,7552.0,308.3859,0.0131,,,Axis Mutual Fund,AXISISF,,,,,
Cipla Limited,INE059A01026,Pharmaceuticals & Biotechnology,16332.0,246.8255,0.0105,,,Axis Mutual Fund,AXISISF,,,,,
Bharti Airtel Limited,INE397D01024,Telecom - Services,10345.0,217.8243,0.0093,,,Axis Mutual Fund,AXISISF,,,,,
NTPC Limited,INE733E01010,Power,61472.0,202.581,0.0086,,,Axis Mutual Fund,AXISISF,,,,,
Kotak Mahindra Bank Limited,INE237A01028,Banks,8309.0,182.8894,0.0078,,,Axis Mutual Fund,AXISISF,,,,,
Cholamandalam Investment and Finance Company Ltd (CCD),INE121A08PJ0,Finance,150.0,178.4977,0.0076,7.2625%#,,Axis Mutual Fund,AXISISF,,,,,
Bank of Baroda,INE028A01039,Banks,54290.0,160.6441,0.0068,,,Axis Mutual Fund,AXISISF,,,,,
Mahindra & Mahindra Limited,INE101A01026,Automobiles,4325.0,160.4229,0.0068,,,Axis Mutual Fund,AXISISF,,,,,
HDFC Life Insurance Company Limited,INE795G01014,Insurance,20515.0,153.8317,0.0066,,,Axis Mutual Fund,AXISISF,,,,,
LTIMindtree Limited,INE214T01019,IT - Software,2342.0,142.0072,0.0061,,,Axis Mutual Fund,AXISISF,,,,,
ITC Limited,INE154A01025,Diversified FMCG,31479.0,126.8604,0.0054,,,Axis Mutual Fund,AXISISF,,,,,
Britannia Industries Limited,INE216A01030,Food Products,1709.0,103.0698,0.0044,,,Axis Mutual Fund,AXISISF,,,,,
Titan Company Limited,INE280A01028,Consumer Durables,2500.0,101.2875,0.0043,,,Axis Mutual Fund,AXISISF,,,,,
Bharat Petroleum Corporation Limited,INE029A01011,Petroleum Products,25376.0,97.4438,0.0042,,,Axis Mutual Fund,AXISISF,,,,,
PI Industries Limited,INE603J01030,Fertilizers & Agrochemicals,2942.0,95.2678,0.0041,,,Axis Mutual Fund,AXISISF,,,,,
Divi's Laboratories Limited,INE361B01024,Pharmaceuticals & Biotechnology,1478.0,94.4812,0.004,,,Axis Mutual Fund,AXISISF,,,,,
Tata Consultancy Services Limited,INE467B01029,IT - Software,2367.0,75.8908,0.0032,,,Axis Mutual Fund,AXISISF,,,,,
Cholamandalam Investment and Finance Company Ltd,INE121A01024,Finance,4399.0,74.8798,0.0032,,,Axis Mutual Fund,AXISISF,,,,,
Apollo Hospitals Enterprise Limited,INE437A01024,Healthcare Services,997.0,70.2137,0.003,,,Axis Mutual Fund,AXISISF,,,,,
Bajaj Finance Limited,INE296A01032,Finance,6626.0,65.3854,0.0028,,,Axis Mutual Fund,AXISISF,,,,,
Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals & Biotechnology,3774.0,64.9015,0.0028,,,Axis Mutual Fund,AXISISF,,,,,
Tech Mahindra Limited,INE669C01036,IT - Software,3391.0,53.9474,0.0023,,,Axis Mutual Fund,AXISISF,,,,,
Sona BLW Precision Forgings Limited,INE073K01018,Auto Components,9733.0,46.66,0.002,,,Axis Mutual Fund,AXISISF,,,,,
Hindustan Unilever Limited,INE030A01027,Diversified FMCG,1784.0,41.3157,0.0018,,,Axis Mutual Fund,AXISISF,,,,,
Sundaram Finance Limited,INE660A01013,Finance,353.0,18.6483,0.0008,,,Axis Mutual Fund,AXISISF,,,,,
Nestle India Limited,INE239A01024,Food Products,884.0,11.3859,0.0005,,,Axis Mutual Fund,AXISISF,,,,,
Tata Motors Ltd,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles",1378.0,5.7256,0.0002,,,Axis Mutual Fund,AXISISF,,,,,
Kwality Walls (India) Limited,INE2KCE01013,Food Products,1784.0,0.7172,$0.00%,,,Axis Mutual Fund,AXISISF,,,,,
Sub Total,,,,5194.3264,0.2213,,,Axis Mutual Fund,AXISISF,,,,,
(b) Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISISF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISISF,,,,,
Total,,,,5194.3264,0.2213,,,Axis Mutual Fund,AXISISF,,,,,
Derivatives,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
Interest Rate Swaps,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (25/03/2030) (FV 1500 Lacs),,,,-1.9215,-0.0001,,,Axis Mutual Fund,AXISISF,,,,,
Sub Total,,,,-1.9215,-0.0001,,,Axis Mutual Fund,AXISISF,,,,,
Total,,,,-1.9215,-0.0001,,,Axis Mutual Fund,AXISISF,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
7.18% Government of India (14/08/2033),IN0020230085,Sovereign,3500000.0,3611.1425,0.1539,0.067506,,Axis Mutual Fund,AXISISF,,,,,
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,2600000.0,2623.3038,0.1118,0.067619,,Axis Mutual Fund,AXISISF,,,,,
6.68% Government of India (07/07/2040),IN0020250042,Sovereign,2500000.0,2427.61,0.1034,0.071232,,Axis Mutual Fund,AXISISF,,,,,
7.64% Power Finance Corporation Limited (22/02/2033) **,INE134E08MA1,CRISIL AAA,1500.0,1535.391,0.0654,0.072,,Axis Mutual Fund,AXISISF,,,,,
8.15% Samvardhana Motherson International Limited (23/01/2026) **,INE775A08089,IND AAA,1000.0,1000.711,0.0426,0.064702,,Axis Mutual Fund,AXISISF,,,,,
7.18% Government of India (24/07/2037),IN0020230077,Sovereign,900000.0,922.4109,0.0393,0.069815,,Axis Mutual Fund,AXISISF,,,,,
7.1% Government of India (08/04/2034),IN0020240019,Sovereign,500000.0,514.308,0.0219,0.067527,,Axis Mutual Fund,AXISISF,,,,,
5% GMR Airports Limited (13/02/2027) **,INE776C08083,CRISIL A+,500.0,509.2395,0.0217,0.10435,,Axis Mutual Fund,AXISISF,,,,,
Bamboo Hotel And Global Centre (Delhi) Private limited (31/01/2028) **,INE755L07015,ICRA A+(CE),500.0,506.1635,0.0216,0.099348,,Axis Mutual Fund,AXISISF,,,,,
8.50% Aadhar Housing Finance Limited (26/05/2026) **,INE883F07306,IND AA,500.0,501.3,0.0214,0.074399,,Axis Mutual Fund,AXISISF,,,,,
8.75% Aptus Value Housing Finance India Limited (11/03/2030) **,INE852O07154,CARE AA,500.0,500.8905,0.0213,0.089037,,Axis Mutual Fund,AXISISF,,,,,
8.50% Muthoot Finance Limited (29/01/2026),INE414G07HK3,CRISIL AA+,500.0,500.4305,0.0213,0.068353,,Axis Mutual Fund,AXISISF,,,,,
6.72% IndiGrid Infrastructure Trust (14/09/2026) **,INE219X07306,CRISIL AAA,50.0,499.224,0.0213,0.07135,,Axis Mutual Fund,AXISISF,,,,,
9.4% IKF Finance Limited (12/08/2027) **,INE859C07246,CARE A+,500.0,498.1695,0.0212,0.101648,,Axis Mutual Fund,AXISISF,,,,,
8.95% Aptus Finance India Private Limited (06/03/2029) **,INE04MH07059,CARE AA,500.0,405.6425,0.0173,0.095002,,Axis Mutual Fund,AXISISF,,,,,
7.23% Government of India (15/04/2039),IN0020240027,Sovereign,300000.0,307.4919,0.0131,0.070579,,Axis Mutual Fund,AXISISF,,,,,
6.19% Government of India (16/09/2034),IN0020200096,Sovereign,20000.0,19.3695,0.0008,0.067825,,Axis Mutual Fund,AXISISF,,,,,
Sub Total,,,,16882.7986,0.7194,,,Axis Mutual Fund,AXISISF,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISISF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISISF,,,,,
Total,,,,16882.7986,0.7194,,,Axis Mutual Fund,AXISISF,,,,,
Others,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
Alternative Investment Fund Units,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,1092.645,126.2419,0.0054,,,Axis Mutual Fund,AXISISF,,,,,
Sub Total,,,,126.2419,0.0054,,,Axis Mutual Fund,AXISISF,,,,,
Total,,,,126.2419,0.0054,,,Axis Mutual Fund,AXISISF,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
Clearing Corporation of India Ltd,,,,718.99,0.0306,0.05287018998778637,,Axis Mutual Fund,AXISISF,,,,,
Sub Total,,,,718.99,0.0306,,,Axis Mutual Fund,AXISISF,,,,,
Total,,,,718.99,0.0306,,,Axis Mutual Fund,AXISISF,,,,,
Net Receivables / (Payables),,,,547.9446,0.0234,,,Axis Mutual Fund,AXISISF,,,,,
GRAND TOTAL,,,,23468.38,1,,,Axis Mutual Fund,AXISISF,,,,,
,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
CCD - Compulsory Convertible Debenture,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
**  Thinly Traded / Non Traded Security,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
#YTM as provided by valuation agencies for debt component,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
$  Less Than 0.01% of Net Asset Value ,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXISISF,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXISISF,,,,,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXISISF,,,,,
,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
,,,,,,,,Axis Mutual Fund,AXISISF,,,,,
,Benchmark Name - NIFTY 50 HYBRID COMPOSITE DEBT 15:85 INDEX,,,,,,,Axis Mutual Fund,AXISISF,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXISISF,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
7.34% Government of India (22/04/2064),IN0020240035,Sovereign,9725300.0,9696.0463,0.3505,0.074979,,Axis Mutual Fund,AXISLDF,,,,,
7.25% Government of India (12/06/2063),IN0020230044,Sovereign,6500000.0,6417.684,0.232,0.074843,,Axis Mutual Fund,AXISLDF,,,,,
7.36% Government of India (12/09/2052),IN0020220086,Sovereign,4800000.0,4838.6352,0.1749,0.074227,,Axis Mutual Fund,AXISLDF,,,,,
7.09% Government of India (05/08/2054),IN0020240118,Sovereign,3000000.0,2933.094,0.106,0.074079,,Axis Mutual Fund,AXISLDF,,,,,
7.24% Government of India (18/08/2055),IN0020250075,Sovereign,2500000.0,2493.18,0.0901,0.073933,,Axis Mutual Fund,AXISLDF,,,,,
7.3% Government of India (19/06/2053),IN0020230051,Sovereign,285800.0,286.3056,0.0103,0.074174,,Axis Mutual Fund,AXISLDF,,,,,
Sub Total,,,,26664.9451,0.9639,,,Axis Mutual Fund,AXISLDF,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISLDF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISLDF,,,,,
Total,,,,26664.9451,0.9639,,,Axis Mutual Fund,AXISLDF,,,,,
Others,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
Alternative Investment Fund Units,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,1344.408,155.3301,0.0056,,,Axis Mutual Fund,AXISLDF,,,,,
Sub Total,,,,155.3301,0.0056,,,Axis Mutual Fund,AXISLDF,,,,,
Total,,,,155.3301,0.0056,,,Axis Mutual Fund,AXISLDF,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
Clearing Corporation of India Ltd,,,,375.76,0.0136,0.05287019838135803,,Axis Mutual Fund,AXISLDF,,,,,
Sub Total,,,,375.76,0.0136,,,Axis Mutual Fund,AXISLDF,,,,,
Total,,,,375.76,0.0136,,,Axis Mutual Fund,AXISLDF,,,,,
Net Receivables / (Payables),,,,468.4748,0.0169,,,Axis Mutual Fund,AXISLDF,,,,,
GRAND TOTAL,,,,27664.51,1,,,Axis Mutual Fund,AXISLDF,,,,,
,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
,,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
,Benchmark Name - NIFTY LONG DURATION DEBT INDEX A-III,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXISLDF,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISLFA,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXISLFA,,,,,
8.69% Tamilnadu State Development Loans (24/02/2026),IN3120150203,,10000000.0,10045.09,0.0028,0.0541,,Axis Mutual Fund,AXISLFA,Sovereign,,,,
8.04% HDB Financial Services Limited (25/02/2026),INE756I07EL8,,750.0,7512.645,0.0021,0.064688,,Axis Mutual Fund,AXISLFA,CRISIL AAA,,,,
8.76% Madhya Pradesh State Development Loans (24/02/2026),IN2120150106,,6714000.0,6744.7501,0.0019,0.054291,,Axis Mutual Fund,AXISLFA,Sovereign,,,,
7.924% Kotak Mahindra Prime Limited (20/02/2026) **,INE916DA7RW2,,500.0,5006.435,0.0014,0.065299,,Axis Mutual Fund,AXISLFA,CRISIL AAA,,,,
Bajaj Finance Limited (18/02/2026) (ZCB) **,INE296A07RY7,,250.0,3180.08,0.0009,0.0645,,Axis Mutual Fund,AXISLFA,CRISIL AAA,,,,
Sub Total,,,,32489.0001,0.0091,,,Axis Mutual Fund,AXISLFA,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISLFA,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISLFA,,,,,
Total,,,,32489.0001,0.0091,,,Axis Mutual Fund,AXISLFA,,,,,
Money Market Instruments,,,,,,,,Axis Mutual Fund,AXISLFA,,,,,
Certificate of Deposit,,,,,,,,Axis Mutual Fund,AXISLFA,,,,,
HDFC Bank Limited (18/03/2026),INE040A16IC5,,25500.0,125959.1625,0.0353,0.05875,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Indian Bank (25/02/2026) **,INE562A16PX9,,20000.0,99118.1,0.0278,0.05905,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
HDFC Bank Limited (17/03/2026),INE040A16IB7,,19500.0,96337.02,0.027,0.05875,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Punjab National Bank (18/03/2026),INE160A16RK5,,16500.0,81496.8825,0.0229,0.059114,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Small Industries Dev Bank of India (27/02/2026),INE556F16BB6,,15500.0,76780.5675,0.0215,0.060001,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
National Bank For Agriculture and Rural Development (24/03/2026) **,INE261F16991,,15000.0,74004.15,0.0208,0.059899,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (06/03/2026) **,INE028A16HW0,,13500.0,66807.1125,0.0187,0.05915,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Punjab National Bank (03/03/2026) **,INE160A16TR6,,13000.0,64363.91,0.0181,0.059134,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Bank of Baroda (05/03/2026) **,INE028A16KP8,,12000.0,59393.64,0.0167,0.059151,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Punjab National Bank (13/03/2026) **,INE160A16TU0,,12000.0,59317.68,0.0166,0.059134,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Bank of Baroda (05/01/2026) **,INE028A16JI5,,10500.0,52465.5075,0.0147,0.060036,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Bank of India (24/02/2026) **,INE084A16FA3,,10000.0,49561.15,0.0139,0.059851,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Canara Bank (26/02/2026) **,INE476A16E95,,10000.0,49549.6,0.0139,0.05925,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
RBL Bank Limited (25/02/2026) **,INE976G16OE1,,10000.0,49511.35,0.0139,0.0655,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Karur Vysya Bank Limited (13/03/2026) **,INE036D16JM4,,10000.0,49419.85,0.0139,0.060352,,Axis Mutual Fund,AXISLFA,ICRA A1+,,,,
Union Bank of India (03/02/2026) **,INE692A16IP5,,9500.0,47246.92,0.0133,0.059252,,Axis Mutual Fund,AXISLFA,ICRA A1+,,,,
Union Bank of India (05/03/2026) **,INE692A16IY7,,8000.0,39595.08,0.0111,0.059252,,Axis Mutual Fund,AXISLFA,ICRA A1+,,,,
Indian Bank (19/01/2026),INE562A16NW6,,6000.0,29909.67,0.0084,0.061251,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Union Bank of India (27/01/2026) **,INE692A16IM2,,6000.0,29871.6,0.0084,0.06035,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
HDFC Bank Limited (12/02/2026) **,INE040A16HV7,,6000.0,29797.71,0.0084,0.059,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Canara Bank (04/03/2026),INE476A16A73,,6000.0,29699.85,0.0083,0.059499,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Indian Bank (12/03/2026) **,INE562A16OI3,,6000.0,29664.09,0.0083,0.059048,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Canara Bank (05/03/2026) **,INE476A16A81,,5000.0,24746.925,0.0069,0.059249,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
UCO Bank (12/03/2026) **,INE691A16MB9,,5000.0,24714.95,0.0069,0.060142,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
UCO Bank (18/03/2026) **,INE691A16MD5,,5000.0,24690.8,0.0069,0.060143,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Kotak Mahindra Bank Limited (15/01/2026) **,INE237A162Z2,,4900.0,24443.748,0.0069,0.059998,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Indian Bank (04/02/2026) **,INE562A16OA0,,4500.0,22376.925,0.0063,0.05905,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (11/03/2026) **,INE028A16HZ3,,4500.0,22251.195,0.0062,0.059149,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Indian Bank (08/01/2026) **,INE562A16NV8,,4000.0,19976.86,0.0056,0.060399,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
IDBI Bank Limited (05/02/2026) **,INE008A16X73,,4000.0,19886.26,0.0056,0.059652,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (24/02/2026),INE028A16JJ3,,4000.0,19826.46,0.0056,0.059167,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Bank of India (05/03/2026) **,INE084A16FC9,,4000.0,19795.52,0.0056,0.059849,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Canara Bank (12/03/2026) **,INE476A16B23,,4000.0,19775.3,0.0055,0.059248,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Indian Bank (25/03/2026) **,INE562A16ON3,,4000.0,19735.02,0.0055,0.059048,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (06/01/2026) **,INE028A16KA0,,3000.0,14987.67,0.0042,0.060055,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (13/01/2026) **,INE028A16HK5,,3000.0,14970.345,0.0042,0.060253,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
National Bank For Agriculture and Rural Development (17/02/2026) **,INE261F16959,,3000.0,14885.865,0.0042,0.059548,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Kotak Mahindra Bank Limited (18/02/2026),INE237A165Z5,,3000.0,14884.23,0.0042,0.059149,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of India (10/03/2026) **,INE084A16EK5,,3000.0,14834.595,0.0042,0.059849,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Kotak Mahindra Bank Limited (13/03/2026) **,INE237A167Z1,,3000.0,14830.095,0.0042,0.0589,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (13/03/2026) **,INE028A16IC0,,3000.0,14829.375,0.0042,0.05915,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
National Bank For Agriculture and Rural Development (13/03/2026) **,INE261F16983,,2500.0,12356.025,0.0035,0.059902,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (16/01/2026),INE028A16HL3,,2000.0,9974.89,0.0028,0.061255,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Canara Bank (13/03/2026) **,INE476A16B31,,2000.0,9886.06,0.0028,0.05925,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Export Import Bank of India (04/03/2026),INE514E16CJ9,,1500.0,7425.5175,0.0021,0.059051,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
HDFC Bank Limited (12/03/2026),INE040A16GN6,,1500.0,7415.67,0.0021,0.059299,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
National Bank For Agriculture and Rural Development (20/01/2026),INE261F16892,,1000.0,4984.2,0.0014,0.060898,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Indian Bank (30/01/2026) **,INE562A16NX4,,1000.0,4976.125,0.0014,0.060394,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Canara Bank (03/02/2026) **,INE476A16A24,,1000.0,4973.36,0.0014,0.059252,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (06/02/2026) **,INE028A16JM7,,1000.0,4971,0.0014,0.059154,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Union Bank of India (06/03/2026) **,INE692A16JB3,,1000.0,4948.59,0.0014,0.059249,,Axis Mutual Fund,AXISLFA,ICRA A1+,,,,
HDFC Bank Limited (09/03/2026) **,INE040A16HM6,,1000.0,4946.43,0.0014,0.059,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
HDFC Bank Limited (24/03/2026),INE040A16GS5,,1000.0,4934.485,0.0014,0.059099,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bank of Baroda (02/01/2026),INE028A16JT2,,500.0,2499.59,0.0007,0.060052,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
IDFC First Bank Limited (27/01/2026),INE092T16XY9,,500.0,2488.83,0.0007,0.063,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Canara Bank (27/02/2026) **,INE476A16D96,,100.0,495.416,0.0001,0.059251,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Sub Total,,,,1743588.929,0.489,,,Axis Mutual Fund,AXISLFA,,,,,
Commercial Paper,,,,,,,,Axis Mutual Fund,AXISLFA,,,,,
Small Industries Dev Bank of India (12/02/2026) **,INE556F14LQ8,,20000.0,99315.5,0.0279,0.059901,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Export Import Bank of India (13/02/2026) **,INE514E14SX1,,20000.0,99309.2,0.0279,0.05905,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Small Industries Dev Bank of India (24/02/2026) **,INE556F14LS4,,20000.0,99118,0.0278,0.060151,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Export Import Bank of India (26/02/2026) **,INE514E14SZ6,,15000.0,74323.8,0.0208,0.0593,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Bajaj Financial Securities Limited (12/03/2026) **,INE01C314DR3,,14000.0,69141.45,0.0194,0.06475,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Biocon Limited (20/03/2026) **,INE376G14040,,12000.0,59149.98,0.0166,0.067249,,Axis Mutual Fund,AXISLFA,IND A1+,,,,
Reliance Retail Ventures Limited (11/02/2026) **,INE929O14EH3,,10000.0,49666.65,0.0139,0.059751,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Mahindra & Mahindra Financial Services Limited (13/02/2026) **,INE774D14TG6,,10000.0,49626.15,0.0139,0.06395,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Kotak Securities Limited (03/03/2026) **,INE028E14TW2,,10000.0,49464.3,0.0139,0.0648,,Axis Mutual Fund,AXISLFA,ICRA A1+,,,,
Export Import Bank of India (12/03/2026) **,INE514E14TA7,,10000.0,49440.15,0.0139,0.059048,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Tata Power Company Limited (11/03/2026) **,INE245A14KQ1,,10000.0,49433.7,0.0139,0.060599,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Small Industries Dev Bank of India (13/03/2026) **,INE556F14LW6,,10000.0,49423.65,0.0139,0.059952,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
HDFC Securities Limited (12/03/2026) **,INE700G14RH6,,10000.0,49386.25,0.0139,0.0648,,Axis Mutual Fund,AXISLFA,CARE A1+,,,,
Aditya Birla Capital Limited (13/03/2026) **,INE674K14AZ3,,10000.0,49385.2,0.0139,0.064,,Axis Mutual Fund,AXISLFA,ICRA A1+,,,,
ICICI Securities Limited (03/02/2026) **,INE763G14C38,,9000.0,44737.875,0.0125,0.0648,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Birla Group Holdings Private Limited (24/02/2026) **,INE09OL14IE6,,9000.0,44560.935,0.0125,0.066603,,Axis Mutual Fund,AXISLFA,CRISIL A1+,,,,
Motilal Oswal Financial Services Limited (28/01/2026) **,INE338I14LE1,,8000.0,39798.48,0.0112,0.06845,,Axis Mutual Fund,AXISLFA,ICRA A1+,,,,
