Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
Sub Total,,,,-3.025,$0.00%,Axis Mutual Fund,AXISIFD,
Total,,,,-3.025,$0.00%,Axis Mutual Fund,AXISIFD,
Debt Instruments,,,,,,Axis Mutual Fund,AXISIFD,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISIFD,
7.1% Government of India (08/04/2034),IN0020240019,,11200000.0,11535.6304,0.056,Axis Mutual Fund,AXISIFD,Sovereign
6.48% Government of India (06/10/2035),IN0020250091,,9300000.0,9239.2431,0.0449,Axis Mutual Fund,AXISIFD,Sovereign
6.68% Government of India (07/07/2040),IN0020250042,,7500000.0,7279.3125,0.0354,Axis Mutual Fund,AXISIFD,Sovereign
Jubilant Beverages Limited (31/05/2028) (ZCB) ,INE1D4O08012,,6500.0,6949.6245,0.0337,Axis Mutual Fund,AXISIFD,CRISIL AA
8.58% GMR Hyderabad International Airport Limited (28/03/2034) ,INE802J07035,,6500.0,6556.303,0.0318,Axis Mutual Fund,AXISIFD,
7.18% Tamilnadu State Development Loans (03/12/2033),IN3120250458,,6358600.0,6312.7926,0.0307,Axis Mutual Fund,AXISIFD,Sovereign
9.40% Vedanta Limited (20/02/2027) ,INE205A08038,,6000.0,6032.958,0.0293,Axis Mutual Fund,AXISIFD,ICRA AA
Jubilant Bevco Limited (31/05/2028) (ZCB) ,INE1D4P08019,,5500.0,5898.387,0.0286,Axis Mutual Fund,AXISIFD,CRISIL AA
9.75% Nuvama Wealth Finance Limited (17/01/2028) ,INE918K07PU7,,5800.0,5817.0868,0.0282,Axis Mutual Fund,AXISIFD,CARE AA
9.5% Delhi International Airport Limited (22/03/2034) ,INE657H08043,,5500.0,5661.678,0.0275,Axis Mutual Fund,AXISIFD,ICRA AA
6.79% Government of India (07/10/2034),IN0020240126,,5531900.0,5592.9666,0.0272,Axis Mutual Fund,AXISIFD,Sovereign
8.8% Aditya Birla Digital Fashion Ventures Limited (26/08/2027) ,INE0M8D08016,,5500.0,5516.1865,0.0268,Axis Mutual Fund,AXISIFD,CRISIL AA-
8.65% Aadhar Housing Finance Limited (20/08/2027) ,INE883F07330,,5200.0,5279.9708,0.0256,Axis Mutual Fund,AXISIFD,ICRA AA
8.5% Nirma Limited (07/04/2027) ,INE091A07208,,5000.0,5042.765,0.0245,Axis Mutual Fund,AXISIFD,CRISIL AA
9.4% IKF Finance Limited (12/08/2027) ,INE859C07246,,4500.0,4483.3455,0.0218,Axis Mutual Fund,AXISIFD,CARE A+
7.96% Lodha Developers Limited (07/07/2028) ,INE670K07299,,4200.0,4197.9084,0.0204,Axis Mutual Fund,AXISIFD,ICRA AA
8.95% Aptus Finance India Private Limited (06/03/2029) ,INE04MH07059,,5000.0,4056.33,0.0197,Axis Mutual Fund,AXISIFD,CARE AA
Bamboo Hotel And Global Centre (Delhi) Private limited (31/01/2028) ,INE755L07015,,4000.0,4050.076,0.0197,Axis Mutual Fund,AXISIFD,ICRA A+(CE)
9.5% Keystone Realtors Limited (29/09/2028) ,INE263M07109,,4000.0,3998.932,0.0194,Axis Mutual Fund,AXISIFD,ICRA A+
9.5% Kogta Financial (India) Limited (30/10/2027) ,INE192U07376,,4000.0,3954.208,0.0192,Axis Mutual Fund,AXISIFD,CARE A+
JTPM Metal Traders Limited (29/09/2028) (ZCB) ,INE02PE08036,,3500.0,3606.2985,0.0175,Axis Mutual Fund,AXISIFD,CRISIL AA
8.60% Aditya Birla Renewables Limited (24/09/2027) ,INE01QP08016,,3500.0,3540.215,0.0172,Axis Mutual Fund,AXISIFD,CRISIL AA
9.4% IndoStar Capital Finance Limited (18/06/2027) ,INE896L07AL4,,3500.0,3518.3435,0.0171,Axis Mutual Fund,AXISIFD,CARE AA-
9.9% Tyger Capital Private Limited (13/08/2027) ,INE01EQ07137,,3200.0,3200.5472,0.0155,Axis Mutual Fund,AXISIFD,CRISIL A+
8.06% Summit Digitel Infrastructure Limited (29/01/2029) ,INE507T07120,,3000.0,3080.181,0.015,Axis Mutual Fund,AXISIFD,CRISIL AAA
6.76% Maharashtra State Development Loans (23/04/2037),IN2220250012,,3000000.0,2859.519,0.0139,Axis Mutual Fund,AXISIFD,Sovereign
6.9% Government of India (15/04/2065),IN0020250018,,2800000.0,2636.1944,0.0128,Axis Mutual Fund,AXISIFD,Sovereign
8.3% Tata Projects Limited (07/01/2028) ,INE725H08238,,2500.0,2533.205,0.0123,Axis Mutual Fund,AXISIFD,CRISIL AA
8.15% Godrej Industries Limited (22/11/2029) ,INE233A08147,,2500.0,2530.755,0.0123,Axis Mutual Fund,AXISIFD,CRISIL AA+
9.3% JM Financial Credit Solution Limited (15/02/2027) ,INE651J07986,,2500.0,2525.8975,0.0123,Axis Mutual Fund,AXISIFD,ICRA AA
7.49% punjab State Development Loans (03/12/2035),IN2820250149,,2500000.0,2489.5275,0.0121,Axis Mutual Fund,AXISIFD,Sovereign
6.94% Power Grid Corporation of India Limited (15/04/2035),INE752E08783,,2500.0,2474.3625,0.012,Axis Mutual Fund,AXISIFD,CRISIL AAA
6.28% Government of India (14/07/2032),IN0020250059,,2500000.0,2461.2125,0.012,Axis Mutual Fund,AXISIFD,Sovereign
7.80% Mahanagar Telephone Nigam Limited (07/11/2033) ,INE153A08170,,2400.0,2400.8496,0.0117,Axis Mutual Fund,AXISIFD,CARE AAA(CE)
7.26% Government of India (06/02/2033),IN0020220151,,2079400.0,2157.5355,0.0105,Axis Mutual Fund,AXISIFD,Sovereign
7.73% Embassy Office Parks REIT (14/12/2029) ,INE041007159,,2000.0,2038.368,0.0099,Axis Mutual Fund,AXISIFD,CRISIL AAA
5% GMR Airports Limited (13/02/2027) ,INE776C08083,,2000.0,2035.614,0.0099,Axis Mutual Fund,AXISIFD,CRISIL A+
9.95% IndoStar Capital Finance Limited (27/05/2026) ,INE896L07AI0,,2000.0,2012.312,0.0098,Axis Mutual Fund,AXISIFD,CARE AA-
9.65% Vistaar Financial Services Private Limited (18/06/2026) ,INE016P07229,,4000.0,2003.616,0.0097,Axis Mutual Fund,AXISIFD,CARE A+
7.55% L&T Metro Rail (Hyderabad) Limited (28/04/2035) ,INE128M08094,,2000.0,1990.55,0.0097,Axis Mutual Fund,AXISIFD,CRISIL AAA(CE)
7.18% Government of India (14/08/2033),IN0020230085,,1900000.0,1962.3504,0.0095,Axis Mutual Fund,AXISIFD,Sovereign
7.20% National Bank For Agriculture and Rural Development (21/10/2031) ,INE261F08691,,150.0,1515.81,0.0074,Axis Mutual Fund,AXISIFD,CRISIL AAA
8.65% TVS Holdings Limited (07/06/2029) ,INE105A08022,,1500.0,1512.3855,0.0073,Axis Mutual Fund,AXISIFD,CRISIL AA+
8.6% Infopark Properties Limited (19/06/2039) ,INE0KZX07023,,1500.0,1506.0255,0.0073,Axis Mutual Fund,AXISIFD,CARE AA-
7.86% Jharkhand State Development Loans (09/11/2034),IN3720220018,,1000000.0,1028.71,0.005,Axis Mutual Fund,AXISIFD,Sovereign
7.45% Altius Telecom Infrastructure Trust (20/04/2035) ,INE0BWS07045,,1000.0,1008.307,0.0049,Axis Mutual Fund,AXISIFD,CRISIL AAA
9.31% Vedanta Limited (03/12/2027) ,INE205A08046,,1000.0,1006.006,0.0049,Axis Mutual Fund,AXISIFD,CRISIL AA
8.75% Aptus Value Housing Finance India Limited (11/03/2030) ,INE852O07154,,800.0,801.6192,0.0039,Axis Mutual Fund,AXISIFD,CARE AA
8.50% Aadhar Housing Finance Limited (26/05/2026) ,INE883F07306,,500.0,501.4865,0.0024,Axis Mutual Fund,AXISIFD,IND AA
9.75% Veritas Finance Private Limited (28/11/2026) ,INE448U07240,,500.0,501.458,0.0024,Axis Mutual Fund,AXISIFD,CARE AA-
7.24% Government of India (18/08/2055),IN0020250075,,500000.0,496.1005,0.0024,Axis Mutual Fund,AXISIFD,Sovereign
7.57% Government of India (17/06/2033),IN0020190065,,300000.0,316.2114,0.0015,Axis Mutual Fund,AXISIFD,Sovereign
7.34% Government of India (22/04/2064),IN0020240035,,300000.0,298.6161,0.0015,Axis Mutual Fund,AXISIFD,Sovereign
7.26% Government of India (22/08/2032),IN0020220060,,200000.0,206.9874,0.001,Axis Mutual Fund,AXISIFD,Sovereign
7.46% Karnataka State Development Loans (20/03/2038),IN1920230365,,183700.0,184.62,0.0009,Axis Mutual Fund,AXISIFD,Sovereign
7.88% Government of India (19/03/2030),IN0020150028,,150000.0,158.7738,0.0008,Axis Mutual Fund,AXISIFD,Sovereign
8.49% National Highways Authority Of India (05/02/2029) ,INE906B07GO3,,12.0,125.3329,0.0006,Axis Mutual Fund,AXISIFD,CRISIL AAA
7.1% Government of India (18/04/2029),IN0020220011,,100000.0,103.4522,0.0005,Axis Mutual Fund,AXISIFD,Sovereign
7.23% Government of India (15/04/2039),IN0020240027,,98700.0,100.8781,0.0005,Axis Mutual Fund,AXISIFD,Sovereign
7.26% Government of India (14/01/2029),IN0020180454,,48900.0,50.7611,0.0002,Axis Mutual Fund,AXISIFD,Sovereign
5.79% Government of India (11/05/2030),IN0020200070,,49400.0,48.3122,0.0002,Axis Mutual Fund,AXISIFD,Sovereign
8.60% Government of India (02/06/2028),IN0020140011,,42000.0,44.5887,0.0002,Axis Mutual Fund,AXISIFD,Sovereign
7.35% Embassy Office Parks REIT (05/04/2027) ,INE041007092,,1.0,10.0297,$0.00%,Axis Mutual Fund,AXISIFD,CRISIL AAA
8.15% Government of India (24/11/2026),IN0020140060,,9400.0,9.6,$0.00%,Axis Mutual Fund,AXISIFD,Sovereign
7.59% Government of India (20/03/2029),IN0020150069,,4000.0,4.1902,$0.00%,Axis Mutual Fund,AXISIFD,Sovereign
Sub Total,,,,183053.421,0.889,Axis Mutual Fund,AXISIFD,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISIFD,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISIFD,
(c) Securitised Debt,,,,,,Axis Mutual Fund,AXISIFD,
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,,19.0,1910.0579,0.0093,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO)
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,,19.0,1906.2174,0.0093,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO)
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,,12.0,1199.9033,0.0058,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO)
Sub Total,,,,5016.1786,0.0244,Axis Mutual Fund,AXISIFD,
Total,,,,188069.5996,0.9133,Axis Mutual Fund,AXISIFD,
Others,,,,,,Axis Mutual Fund,AXISIFD,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISIFD,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4918.583,567.87,0.0028,Axis Mutual Fund,AXISIFD,
Sub Total,,,,567.87,0.0028,Axis Mutual Fund,AXISIFD,
Total,,,,567.87,0.0028,Axis Mutual Fund,AXISIFD,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISIFD,
Clearing Corporation of India Ltd,,,,6650.892,0.0323,Axis Mutual Fund,AXISIFD,
Sub Total,,,,6650.892,0.0323,Axis Mutual Fund,AXISIFD,
Total,,,,6650.892,0.0323,Axis Mutual Fund,AXISIFD,
Net Receivables / (Payables),,,,7725.3967,0.0375,Axis Mutual Fund,AXISIFD,
GRAND TOTAL,,,,205919.22,1,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
ZCB - Zero Coupon Bond,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
$  Less Than 0.01% of Net Asset Value ,,,,,,Axis Mutual Fund,AXISIFD,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,,,,,,Axis Mutual Fund,AXISIFD,
,Benchmark Name - NIFTY MEDIUM DURATION DEBT INDEX A-III,,,,,Axis Mutual Fund,AXISIFD,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISIFD,
Debt Instruments,,,,,,Axis Mutual Fund,AXISLDF,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISLDF,
7.34% Government of India (22/04/2064),IN0020240035,,9725300.0,9680.4372,0.3504,Axis Mutual Fund,AXISLDF,Sovereign
7.25% Government of India (12/06/2063),IN0020230044,,6500000.0,6399.25,0.2316,Axis Mutual Fund,AXISLDF,Sovereign
7.36% Government of India (12/09/2052),IN0020220086,,4800000.0,4823.0736,0.1746,Axis Mutual Fund,AXISLDF,Sovereign
7.09% Government of India (05/08/2054),IN0020240118,,3000000.0,2920.482,0.1057,Axis Mutual Fund,AXISLDF,Sovereign
7.24% Government of India (18/08/2055),IN0020250075,,2500000.0,2480.5025,0.0898,Axis Mutual Fund,AXISLDF,Sovereign
7.3% Government of India (19/06/2053),IN0020230051,,285800.0,285.6717,0.0103,Axis Mutual Fund,AXISLDF,Sovereign
Sub Total,,,,26589.417,0.9625,Axis Mutual Fund,AXISLDF,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISLDF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISLDF,
Total,,,,26589.417,0.9625,Axis Mutual Fund,AXISLDF,
Others,,,,,,Axis Mutual Fund,AXISLDF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISLDF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,1344.408,155.2173,0.0056,Axis Mutual Fund,AXISLDF,
Sub Total,,,,155.2173,0.0056,Axis Mutual Fund,AXISLDF,
Total,,,,155.2173,0.0056,Axis Mutual Fund,AXISLDF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISLDF,
Clearing Corporation of India Ltd,,,,433.4837,0.0157,Axis Mutual Fund,AXISLDF,
Sub Total,,,,433.4837,0.0157,Axis Mutual Fund,AXISLDF,
Total,,,,433.4837,0.0157,Axis Mutual Fund,AXISLDF,
Net Receivables / (Payables),,,,447.012,0.0162,Axis Mutual Fund,AXISLDF,
GRAND TOTAL,,,,27625.13,1,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,,,,,,Axis Mutual Fund,AXISLDF,
,Benchmark Name - NIFTY LONG DURATION DEBT INDEX A-III,,,,,Axis Mutual Fund,AXISLDF,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISLDF,
Debt Instruments,,,,,,Axis Mutual Fund,AXISLFA,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISLFA,
8.69% Tamilnadu State Development Loans (24/02/2026),IN3120150203,Sovereign,10000000.0,10047.38,0.0024,Axis Mutual Fund,AXISLFA,
8.04% HDB Financial Services Limited (25/02/2026) ,INE756I07EL8,CRISIL AAA,750.0,7512.36,0.0018,Axis Mutual Fund,AXISLFA,
8.76% Madhya Pradesh State Development Loans (24/02/2026),IN2120150106,Sovereign,6714000.0,6746.3279,0.0016,Axis Mutual Fund,AXISLFA,
7.924% Kotak Mahindra Prime Limited (20/02/2026) ,INE916DA7RW2,CRISIL AAA,500.0,5005.85,0.0012,Axis Mutual Fund,AXISLFA,
Bajaj Finance Limited (18/02/2026) (ZCB) ,INE296A07RY7,CRISIL AAA,250.0,3176.5675,0.0008,Axis Mutual Fund,AXISLFA,
Sub Total,,,,32488.4854,0.0078,Axis Mutual Fund,AXISLFA,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISLFA,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISLFA,
Total,,,,32488.4854,0.0078,Axis Mutual Fund,AXISLFA,
Money Market Instruments,,,,,,Axis Mutual Fund,AXISLFA,
Certificate of Deposit,,,,,,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (18/03/2026) ,INE040A16IC5,CARE A1+,26000.0,128274.64,0.0309,Axis Mutual Fund,AXISLFA,
Indian Bank (25/02/2026) ,INE562A16PX9,CRISIL A1+,20000.0,99006.4,0.0238,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (17/03/2026) ,INE040A16IB7,CARE A1+,20000.0,98689,0.0237,Axis Mutual Fund,AXISLFA,
Punjab National Bank (18/03/2026) ,INE160A16RK5,CARE A1+,16500.0,81409.515,0.0196,Axis Mutual Fund,AXISLFA,
Small Industries Dev Bank of India (27/02/2026),INE556F16BB6,CARE A1+,15500.0,76697.4875,0.0184,Axis Mutual Fund,AXISLFA,
National Bank For Agriculture and Rural Development (24/03/2026) ,INE261F16991,CRISIL A1+,15000.0,73928.625,0.0178,Axis Mutual Fund,AXISLFA,
Bank of Baroda (06/03/2026) ,INE028A16HW0,CRISIL A1+,13500.0,66731.7825,0.0161,Axis Mutual Fund,AXISLFA,
Punjab National Bank (03/03/2026) ,INE160A16TR6,IND A1+,13000.0,64298,0.0155,Axis Mutual Fund,AXISLFA,
Bank of Baroda (05/03/2026) ,INE028A16KP8,CARE A1+,12000.0,59326.92,0.0143,Axis Mutual Fund,AXISLFA,
Punjab National Bank (13/03/2026) ,INE160A16TU0,IND A1+,12000.0,59255.04,0.0143,Axis Mutual Fund,AXISLFA,
Bank of Baroda (05/01/2026) ,INE028A16JI5,IND A1+,10500.0,52422.3,0.0126,Axis Mutual Fund,AXISLFA,
Bank of India (24/02/2026) ,INE084A16FA3,CARE A1+,10000.0,49505.5,0.0119,Axis Mutual Fund,AXISLFA,
Canara Bank (26/02/2026) ,INE476A16E95,CRISIL A1+,10000.0,49495.4,0.0119,Axis Mutual Fund,AXISLFA,
RBL Bank Limited (25/02/2026) ,INE976G16OE1,CARE A1+,10000.0,49465.8,0.0119,Axis Mutual Fund,AXISLFA,
Karur Vysya Bank Limited (13/03/2026) ,INE036D16JM4,ICRA A1+,10000.0,49365.3,0.0119,Axis Mutual Fund,AXISLFA,
Union Bank of India (03/02/2026) ,INE692A16IP5,ICRA A1+,9500.0,47196.3325,0.0114,Axis Mutual Fund,AXISLFA,
Union Bank of India (05/03/2026),INE692A16IY7,ICRA A1+,8000.0,39551.28,0.0095,Axis Mutual Fund,AXISLFA,
Indian Bank (19/01/2026) ,INE562A16NW6,CRISIL A1+,6000.0,29886.15,0.0072,Axis Mutual Fund,AXISLFA,
Union Bank of India (27/01/2026) ,INE692A16IM2,CRISIL A1+,6000.0,29845.89,0.0072,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (12/02/2026) ,INE040A16HV7,CARE A1+,6000.0,29762.04,0.0072,Axis Mutual Fund,AXISLFA,
Canara Bank (04/03/2026) ,INE476A16A73,CRISIL A1+,6000.0,29671.29,0.0071,Axis Mutual Fund,AXISLFA,
Indian Bank (12/03/2026) ,INE562A16OI3,CRISIL A1+,6000.0,29632.83,0.0071,Axis Mutual Fund,AXISLFA,
Canara Bank (05/03/2026),INE476A16A81,CRISIL A1+,5000.0,24722.05,0.0059,Axis Mutual Fund,AXISLFA,
UCO Bank (12/03/2026) ,INE691A16MB9,CRISIL A1+,5000.0,24688.825,0.0059,Axis Mutual Fund,AXISLFA,
UCO Bank (18/03/2026) ,INE691A16MD5,CRISIL A1+,5000.0,24664.25,0.0059,Axis Mutual Fund,AXISLFA,
Kotak Mahindra Bank Limited (15/01/2026),INE237A162Z2,CRISIL A1+,4900.0,24423.266,0.0059,Axis Mutual Fund,AXISLFA,
Indian Bank (04/02/2026),INE562A16OA0,CRISIL A1+,4500.0,22352.4,0.0054,Axis Mutual Fund,AXISLFA,
Bank of Baroda (11/03/2026),INE028A16HZ3,IND A1+,4500.0,22225.59,0.0053,Axis Mutual Fund,AXISLFA,
Indian Bank (08/01/2026),INE562A16NV8,CRISIL A1+,4000.0,19960.34,0.0048,Axis Mutual Fund,AXISLFA,
IDBI Bank Limited (05/02/2026) ,INE008A16X73,CRISIL A1+,4000.0,19863.84,0.0048,Axis Mutual Fund,AXISLFA,
Bank of Baroda (24/02/2026) ,INE028A16JJ3,IND A1+,4000.0,19804.72,0.0048,Axis Mutual Fund,AXISLFA,
Bank of India (05/03/2026) ,INE084A16FC9,CARE A1+,4000.0,19775.64,0.0048,Axis Mutual Fund,AXISLFA,
Canara Bank (12/03/2026) ,INE476A16B23,CRISIL A1+,4000.0,19755.02,0.0048,Axis Mutual Fund,AXISLFA,
Indian Bank (25/03/2026) ,INE562A16ON3,CRISIL A1+,4000.0,19713.4,0.0047,Axis Mutual Fund,AXISLFA,
Bank of Baroda (06/01/2026) ,INE028A16KA0,CRISIL A1+,3000.0,14975.34,0.0036,Axis Mutual Fund,AXISLFA,
Bank of Baroda (13/01/2026) ,INE028A16HK5,IND A1+,3000.0,14957.895,0.0036,Axis Mutual Fund,AXISLFA,
National Bank For Agriculture and Rural Development (17/02/2026) ,INE261F16959,IND A1+,3000.0,14869.305,0.0036,Axis Mutual Fund,AXISLFA,
Kotak Mahindra Bank Limited (18/02/2026) ,INE237A165Z5,CRISIL A1+,3000.0,14867.88,0.0036,Axis Mutual Fund,AXISLFA,
Bank of India (10/03/2026),INE084A16EK5,CRISIL A1+,3000.0,14819.505,0.0036,Axis Mutual Fund,AXISLFA,
Kotak Mahindra Bank Limited (13/03/2026) ,INE237A167Z1,CRISIL A1+,3000.0,14814.615,0.0036,Axis Mutual Fund,AXISLFA,
Bank of Baroda (13/03/2026) ,INE028A16IC0,IND A1+,3000.0,14812.185,0.0036,Axis Mutual Fund,AXISLFA,
National Bank For Agriculture and Rural Development (13/03/2026),INE261F16983,CRISIL A1+,2500.0,12343.7375,0.003,Axis Mutual Fund,AXISLFA,
Bank of Baroda (16/01/2026) ,INE028A16HL3,IND A1+,2000.0,9966.99,0.0024,Axis Mutual Fund,AXISLFA,
Canara Bank (13/03/2026) ,INE476A16B31,CRISIL A1+,2000.0,9875.9,0.0024,Axis Mutual Fund,AXISLFA,
Export Import Bank of India (04/03/2026),INE514E16CJ9,CRISIL A1+,1500.0,7418.025,0.0018,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (12/03/2026),INE040A16GN6,CRISIL A1+,1500.0,7407.7425,0.0018,Axis Mutual Fund,AXISLFA,
National Bank For Agriculture and Rural Development (20/01/2026) ,INE261F16892,CRISIL A1+,1000.0,4980.04,0.0012,Axis Mutual Fund,AXISLFA,
Indian Bank (30/01/2026) ,INE562A16NX4,CRISIL A1+,1000.0,4971.845,0.0012,Axis Mutual Fund,AXISLFA,
Canara Bank (03/02/2026) ,INE476A16A24,CRISIL A1+,1000.0,4968.01,0.0012,Axis Mutual Fund,AXISLFA,
Bank of Baroda (06/02/2026) ,INE028A16JM7,IND A1+,1000.0,4965.53,0.0012,Axis Mutual Fund,AXISLFA,
Union Bank of India (06/03/2026),INE692A16JB3,ICRA A1+,1000.0,4943.095,0.0012,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (09/03/2026) ,INE040A16HM6,CARE A1+,1000.0,4940.925,0.0012,Axis Mutual Fund,AXISLFA,
HDFC Bank Limited (24/03/2026) ,INE040A16GS5,CRISIL A1+,1000.0,4928.78,0.0012,Axis Mutual Fund,AXISLFA,
Bank of Baroda (02/01/2026) ,INE028A16JT2,IND A1+,500.0,2497.5475,0.0006,Axis Mutual Fund,AXISLFA,
IDFC First Bank Limited (27/01/2026) ,INE092T16XY9,CRISIL A1+,500.0,2486.875,0.0006,Axis Mutual Fund,AXISLFA,
Canara Bank (27/02/2026) ,INE476A16D96,CRISIL A1+,100.0,494.8725,0.0001,Axis Mutual Fund,AXISLFA,
Sub Total,,,,1746673.5035,0.4201,Axis Mutual Fund,AXISLFA,
Commercial Paper,,,,,,Axis Mutual Fund,AXISLFA,
Small Industries Dev Bank of India (12/02/2026) ,INE556F14LQ8,CRISIL A1+,20000.0,99199.7,0.0239,Axis Mutual Fund,AXISLFA,
Export Import Bank of India (13/02/2026) ,INE514E14SX1,CRISIL A1+,20000.0,99191.9,0.0239,Axis Mutual Fund,AXISLFA,
Small Industries Dev Bank of India (24/02/2026) ,INE556F14LS4,CRISIL A1+,20000.0,99003.8,0.0238,Axis Mutual Fund,AXISLFA,
Export Import Bank of India (26/02/2026) ,INE514E14SZ6,CRISIL A1+,15000.0,74240.7,0.0179,Axis Mutual Fund,AXISLFA,
Bajaj Financial Securities Limited (12/03/2026) ,INE01C314DR3,CRISIL A1+,14000.0,69074.6,0.0166,Axis Mutual Fund,AXISLFA,
Biocon Limited (20/03/2026) ,INE376G14040,IND A1+,12000.0,59081.7,0.0142,Axis Mutual Fund,AXISLFA,
Reliance Retail Ventures Limited (11/02/2026) ,INE929O14EH3,CRISIL A1+,10000.0,49609.55,0.0119,Axis Mutual Fund,AXISLFA,
Mahindra & Mahindra Financial Services Limited (13/02/2026) ,INE774D14TG6,CRISIL A1+,10000.0,49573.65,0.0119,Axis Mutual Fund,AXISLFA,
Kotak Securities Limited (03/03/2026) ,INE028E14TW2,ICRA A1+,10000.0,49417.85,0.0119,Axis Mutual Fund,AXISLFA,
Export Import Bank of India (12/03/2026) ,INE514E14TA7,CRISIL A1+,10000.0,49386.55,0.0119,Axis Mutual Fund,AXISLFA,
Tata Power Company Limited (11/03/2026) ,INE245A14KQ1,CRISIL A1+,10000.0,49382.3,0.0119,Axis Mutual Fund,AXISLFA,
Small Industries Dev Bank of India (13/03/2026) ,INE556F14LW6,CRISIL A1+,10000.0,49370.9,0.0119,Axis Mutual Fund,AXISLFA,
HDFC Securities Limited (12/03/2026) ,INE700G14RH6,CARE A1+,10000.0,49339.5,0.0119,Axis Mutual Fund,AXISLFA,
Aditya Birla Capital Limited (13/03/2026) ,INE674K14AZ3,ICRA A1+,10000.0,49337.9,0.0119,Axis Mutual Fund,AXISLFA,
ICICI Securities Limited (03/02/2026) ,INE763G14C38,CRISIL A1+,9000.0,44692.47,0.0107,Axis Mutual Fund,AXISLFA,
Birla Group Holdings Private Limited (24/02/2026) ,INE09OL14IE6,CRISIL A1+,9000.0,44511.48,0.0107,Axis Mutual Fund,AXISLFA,
Motilal Oswal Financial Services Limited (28/01/2026) ,INE338I14LE1,ICRA A1+,8000.0,39758.96,0.0096,Axis Mutual Fund,AXISLFA,
Tata Steel Limited (06/03/2026),INE081A14GK1,ICRA A1+,7000.0,34600.02,0.0083,Axis Mutual Fund,AXISLFA,
Kotak Securities Limited (13/03/2026) ,INE028E14TK7,ICRA A1+,7000.0,34531.56,0.0083,Axis Mutual Fund,AXISLFA,
HDFC Securities Limited (10/02/2026) ,INE700G14QX5,CARE A1+,6000.0,29757.69,0.0072,Axis Mutual Fund,AXISLFA,
ICICI Securities Limited (13/02/2026) ,INE763G14C95,CRISIL A1+,6000.0,29741.49,0.0072,Axis Mutual Fund,AXISLFA,
