Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
Sub Total,,,,-0.8155,-0.0001,Axis Mutual Fund,AXISFLO,,2020-12-05
Total,,,,-0.8155,-0.0001,Axis Mutual Fund,AXISFLO,,2020-12-05
7.34% Government of India (22/04/2064),IN0020240035,Sovereign,2934000.0,2908.9818,0.2286,Axis Mutual Fund,AXISFLO,,2020-12-05
7.43% Maharashtra State Development Loans (03/12/2040),IN2220250392,Sovereign,1000000.0,1005.01,0.079,Axis Mutual Fund,AXISFLO,,2020-12-05
6.96% Andhra Pradesh State Development Loans (19/05/2035),IN1020210077,Sovereign,1000000.0,983.956,0.0773,Axis Mutual Fund,AXISFLO,,2020-12-05
6.48% Government of India (06/10/2035),IN0020250091,Sovereign,750600.0,749.7376,0.0589,Axis Mutual Fund,AXISFLO,,2020-12-05
6.33% Government of India (05/05/2035),IN0020250026,Sovereign,700000.0,690.7747,0.0543,Axis Mutual Fund,AXISFLO,,2020-12-05
Jubilant Bevco Limited (31/05/2028) (ZCB) ,INE1D4P08019,CRISIL AA,500.0,534.6145,0.042,Axis Mutual Fund,AXISFLO,,2020-12-05
Jubilant Beverages Limited (31/05/2028) (ZCB) ,INE1D4O08012,CRISIL AA,500.0,532.9115,0.0419,Axis Mutual Fund,AXISFLO,,2020-12-05
7.96% Pipeline Infrastructure Private Limited (11/03/2028) ,INE01XX07042,CRISIL AAA,500.0,512.6475,0.0403,Axis Mutual Fund,AXISFLO,,2020-12-05
8.52% Muthoot Finance Limited (26/05/2028) ,INE414G07JO1,CRISIL AA+,500.0,508.015,0.0399,Axis Mutual Fund,AXISFLO,,2020-12-05
7.96% Pipeline Infrastructure Private Limited (11/03/2027) ,INE01XX07059,CRISIL AAA,500.0,506.3095,0.0398,Axis Mutual Fund,AXISFLO,,2020-12-05
8.75% Motilal Oswal Finvest Limited (29/10/2027) ,INE01WN07136,ICRA AA+,500.0,505.359,0.0397,Axis Mutual Fund,AXISFLO,,2020-12-05
8.75% Piramal Finance Limited (29/10/2027) ,INE202B07JW4,ICRA AA,500.0,501.6805,0.0394,Axis Mutual Fund,AXISFLO,,2020-12-05
8.75% 360 One Prime Limited (10/09/2027) ,INE248U07GA9,ICRA AA,500.0,499.8275,0.0393,Axis Mutual Fund,AXISFLO,,2020-12-05
7.11% Power Finance Corporation Limited (30/06/2036) ,INE134E08LI6,CRISIL AAA,50.0,499.247,0.0392,Axis Mutual Fund,AXISFLO,,2020-12-05
Sub Total,,,,10939.072,0.8597,Axis Mutual Fund,AXISFLO,,2020-12-05
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISFLO,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISFLO,,2020-12-05
Total,,,,10939.072,0.8597,Axis Mutual Fund,AXISFLO,,2020-12-05
182 Days Tbill (MD 30/04/2026),IN002025Y313,Sovereign,1000000.0,978.818,0.0769,Axis Mutual Fund,AXISFLO,,2020-12-05
Sub Total,,,,978.818,0.0769,Axis Mutual Fund,AXISFLO,,2020-12-05
Total,,,,978.818,0.0769,Axis Mutual Fund,AXISFLO,,2020-12-05
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,1150.043,132.3017,0.0104,Axis Mutual Fund,AXISFLO,,2020-12-05
Sub Total,,,,132.3017,0.0104,Axis Mutual Fund,AXISFLO,,2020-12-05
Total,,,,132.3017,0.0104,Axis Mutual Fund,AXISFLO,,2020-12-05
Clearing Corporation of India Ltd,,,,249.0097,0.0196,Axis Mutual Fund,AXISFLO,,2020-12-05
Sub Total,,,,249.0097,0.0196,Axis Mutual Fund,AXISFLO,,2020-12-05
Total,,,,249.0097,0.0196,Axis Mutual Fund,AXISFLO,,2020-12-05
Net Receivables / (Payables),,,,425.9341,0.0335,Axis Mutual Fund,AXISFLO,,2020-12-05
GRAND TOTAL,,,,12724.32,1.0,Axis Mutual Fund,AXISFLO,,2020-12-05
Knowledge Realty Trust,INE1JAR25012,,904979.0,1116.3821,0.0057,Axis Mutual Fund,AXISIFD,Realty,2020-12-05
Embassy Office Parks REIT,INE041025011,,26120.0,115.231,0.0006,Axis Mutual Fund,AXISIFD,Realty,2020-12-05
Sub Total,,,,1231.6131,0.0063,Axis Mutual Fund,AXISIFD,,2020-12-05
(b) Unlisted,,,,,,Axis Mutual Fund,AXISIFD,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISIFD,,2020-12-05
Total,,,,1231.6131,0.0063,Axis Mutual Fund,AXISIFD,,2020-12-05
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (14/07/2027) (FV 5000 Lacs),,,,-7.41,0.0,Axis Mutual Fund,AXISIFD,,2020-12-05
Sub Total,,,,-7.41,0.0,Axis Mutual Fund,AXISIFD,,2020-12-05
Total,,,,-7.41,0.0,Axis Mutual Fund,AXISIFD,,2020-12-05
6.33% Government of India (05/05/2035),IN0020250026,,12500000.0,12335.2625,0.0632,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.1% Government of India (08/04/2034),IN0020240019,,11200000.0,11589.2336,0.0594,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
6.48% Government of India (06/10/2035),IN0020250091,,8300000.0,8290.4633,0.0425,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
Jubilant Beverages Limited (31/05/2028) (ZCB) ,INE1D4O08012,,6500.0,6927.8495,0.0355,Axis Mutual Fund,AXISIFD,CRISIL AA,2020-12-05
8.58% GMR Hyderabad International Airport Limited (28/03/2034) ,INE802J07035,,6500.0,6580.2165,0.0337,Axis Mutual Fund,AXISIFD,,2020-12-05
9.40% Vedanta Limited (20/02/2027) ,INE205A08038,,6000.0,6029.124,0.0309,Axis Mutual Fund,AXISIFD,ICRA AA,2020-12-05
9.75% Nuvama Wealth Finance Limited (17/01/2028) ,INE918K07PU7,,5800.0,5824.9574,0.0298,Axis Mutual Fund,AXISIFD,CARE AA,2020-12-05
9.5% Delhi International Airport Limited (22/03/2034) ,INE657H08043,,5500.0,5683.216,0.0291,Axis Mutual Fund,AXISIFD,ICRA AA,2020-12-05
6.79% Government of India (07/10/2034),IN0020240126,,5531900.0,5615.4649,0.0288,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
8.8% Aditya Birla Digital Fashion Ventures Limited (26/08/2027) ,INE0M8D08016,,5500.0,5531.416,0.0283,Axis Mutual Fund,AXISIFD,CRISIL AA-,2020-12-05
8.65% Aadhar Housing Finance Limited (20/08/2027) ,INE883F07330,,5200.0,5295.368,0.0271,Axis Mutual Fund,AXISIFD,ICRA AA,2020-12-05
8.5% Nirma Limited (07/04/2027) ,INE091A07208,,5000.0,5054.845,0.0259,Axis Mutual Fund,AXISIFD,CRISIL AA,2020-12-05
9.4% IKF Finance Limited (12/08/2027) ,INE859C07246,,4500.0,4482.306,0.023,Axis Mutual Fund,AXISIFD,CARE A+,2020-12-05
8.95% Aptus Finance India Private Limited (06/03/2029) ,INE04MH07059,,5000.0,4375.235,0.0224,Axis Mutual Fund,AXISIFD,CARE AA,2020-12-05
7.96% Lodha Developers Limited (07/07/2028) ,INE670K07299,,4200.0,4205.0232,0.0215,Axis Mutual Fund,AXISIFD,ICRA AA,2020-12-05
Bamboo Hotel And Global Centre (Delhi) Private limited (31/01/2028) ,INE755L07015,,4000.0,4060.076,0.0208,Axis Mutual Fund,AXISIFD,ICRA A+(CE),2020-12-05
9.5% Keystone Realtors Limited (29/09/2028) ,INE263M07109,,4000.0,4007.952,0.0205,Axis Mutual Fund,AXISIFD,ICRA A+,2020-12-05
9.5% Kogta Financial (India) Limited (30/10/2027) ,INE192U07376,,4000.0,3961.972,0.0203,Axis Mutual Fund,AXISIFD,CARE A+,2020-12-05
JTPM Metal Traders Limited (29/09/2028) (ZCB) ,INE02PE08036,,3500.0,3598.8925,0.0184,Axis Mutual Fund,AXISIFD,CRISIL AA,2020-12-05
8.60% Aditya Birla Renewables Limited (24/09/2027) ,INE01QP08016,,3500.0,3551.3835,0.0182,Axis Mutual Fund,AXISIFD,CRISIL AA,2020-12-05
9.4% IndoStar Capital Finance Limited (18/06/2027) ,INE896L07AL4,,3500.0,3516.9855,0.018,Axis Mutual Fund,AXISIFD,CARE AA-,2020-12-05
Jubilant Bevco Limited (31/05/2028) (ZCB) ,INE1D4P08019,,3000.0,3207.687,0.0164,Axis Mutual Fund,AXISIFD,CRISIL AA,2020-12-05
9.9% Tyger Capital Private Limited (13/08/2027) ,INE01EQ07137,,3200.0,3201.8368,0.0164,Axis Mutual Fund,AXISIFD,CRISIL A+,2020-12-05
8.06% Summit Digitel Infrastructure Limited (29/01/2029) ,INE507T07120,,3000.0,3093.603,0.0158,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
9.65% Vistaar Financial Services Private Limited (18/06/2026) ,INE016P07229,,4000.0,3005.364,0.0154,Axis Mutual Fund,AXISIFD,CARE A+,2020-12-05
6.76% Maharashtra State Development Loans (23/04/2037),IN2220250012,,3000000.0,2880.363,0.0148,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.80% Mahanagar Telephone Nigam Limited (07/11/2033) ,INE153A08170,,2850.0,2867.214,0.0147,Axis Mutual Fund,AXISIFD,CARE AAA(CE),2020-12-05
7.34% Government of India (22/04/2064),IN0020240035,,2800000.0,2776.1244,0.0142,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
8.15% Godrej Industries Limited (22/11/2029) ,INE233A08147,,2500.0,2547.4025,0.013,Axis Mutual Fund,AXISIFD,CRISIL AA+,2020-12-05
8.3% Tata Projects Limited (07/01/2028) ,INE725H08238,,2500.0,2542.9375,0.013,Axis Mutual Fund,AXISIFD,CRISIL AA,2020-12-05
9.3% JM Financial Credit Solution Limited (15/02/2027) ,INE651J07986,,2500.0,2530.7775,0.013,Axis Mutual Fund,AXISIFD,ICRA AA,2020-12-05
7.49% punjab State Development Loans (03/12/2035),IN2820250149,,2500000.0,2521.85,0.0129,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
6.94% Power Grid Corporation of India Limited (15/04/2035) ,INE752E08783,,2500.0,2488.61,0.0127,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
6.28% Government of India (14/07/2032),IN0020250059,,2500000.0,2476.7775,0.0127,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.26% Government of India (06/02/2033),IN0020220151,,2079400.0,2165.325,0.0111,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.73% Embassy Office Parks REIT (14/12/2029) ,INE041007159,,2000.0,2046.796,0.0105,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
5% GMR Airports Limited (13/02/2027) ,INE776C08083,,2000.0,2031.312,0.0104,Axis Mutual Fund,AXISIFD,CRISIL A+,2020-12-05
9.95% IndoStar Capital Finance Limited (27/05/2026) ,INE896L07AI0,,2000.0,2013.264,0.0103,Axis Mutual Fund,AXISIFD,CARE AA-,2020-12-05
7.55% L&T Metro Rail (Hyderabad) Limited (28/04/2035) ,INE128M08094,,2000.0,2008.824,0.0103,Axis Mutual Fund,AXISIFD,CRISIL AAA(CE),2020-12-05
7.18% Government of India (14/08/2033),IN0020230085,,1900000.0,1972.0328,0.0101,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.20% National Bank For Agriculture and Rural Development (21/10/2031) ,INE261F08691,,150.0,1525.7325,0.0078,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
8.65% TVS Holdings Limited (07/06/2029) ,INE105A08022,,1500.0,1516.3185,0.0078,Axis Mutual Fund,AXISIFD,CRISIL AA+,2020-12-05
8.6% Infopark Properties Limited (19/06/2039) ,INE0KZX07023,,1500.0,1508.175,0.0077,Axis Mutual Fund,AXISIFD,CARE AA-,2020-12-05
6.68% Government of India (07/07/2040),IN0020250042,,1500000.0,1472.9505,0.0075,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.86% Jharkhand State Development Loans (09/11/2034),IN3720220018,,1000000.0,1038.207,0.0053,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.45% Altius Telecom Infrastructure Trust (20/04/2035) ,INE0BWS07045,,1000.0,1017.349,0.0052,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
9.31% Vedanta Limited (03/12/2027) ,INE205A08046,,1000.0,1006.352,0.0052,Axis Mutual Fund,AXISIFD,CRISIL AA,2020-12-05
8.75% Aptus Value Housing Finance India Limited (11/03/2030) ,INE852O07154,,800.0,802.8664,0.0041,Axis Mutual Fund,AXISIFD,CARE AA,2020-12-05
9.75% Veritas Finance Private Limited (28/11/2026) ,INE448U07240,,500.0,502.4545,0.0026,Axis Mutual Fund,AXISIFD,CARE AA-,2020-12-05
8.50% Aadhar Housing Finance Limited (26/05/2026) ,INE883F07306,,500.0,502.281,0.0026,Axis Mutual Fund,AXISIFD,IND AA,2020-12-05
7.86% Nexus Select Trust - REIT (16/06/2026) ,INE0NDH07019,,500.0,500.1915,0.0026,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
7.24% Government of India (18/08/2055),IN0020250075,,500000.0,496.95,0.0025,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.57% Government of India (17/06/2033),IN0020190065,,300000.0,317.4678,0.0016,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
6.9% Government of India (15/04/2065),IN0020250018,,300000.0,281.6301,0.0014,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.26% Government of India (22/08/2032),IN0020220060,,200000.0,208.6086,0.0011,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.46% Karnataka State Development Loans (20/03/2038),IN1920230365,,183700.0,185.8759,0.001,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.88% Government of India (19/03/2030),IN0020150028,,150000.0,159.5082,0.0008,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
8.49% National Highways Authority Of India (05/02/2029) ,INE906B07GO3,,12.0,126.1219,0.0006,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
7.1% Government of India (18/04/2029),IN0020220011,,100000.0,103.6032,0.0005,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.23% Government of India (15/04/2039),IN0020240027,,98700.0,101.9292,0.0005,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
5.85% REC Limited (20/12/2025) ,INE020B08DF6,,6.0,59.991,0.0003,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
7.26% Government of India (14/01/2029),IN0020180454,,48900.0,50.8345,0.0003,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
5.79% Government of India (11/05/2030),IN0020200070,,49400.0,48.5596,0.0002,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
8.60% Government of India (02/06/2028),IN0020140011,,42000.0,44.7226,0.0002,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.35% Embassy Office Parks REIT (05/04/2027) ,INE041007092,,1.0,10.0487,0.0001,Axis Mutual Fund,AXISIFD,CRISIL AAA,2020-12-05
8.15% Government of India (24/11/2026),IN0020140060,,9400.0,9.6227,0.0,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
7.59% Government of India (20/03/2029),IN0020150069,,4000.0,4.2022,0.0,Axis Mutual Fund,AXISIFD,Sovereign,2020-12-05
Sub Total,,,,182497.8975,0.9348,Axis Mutual Fund,AXISIFD,,2020-12-05
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISIFD,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISIFD,,2020-12-05
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,,19.0,1930.334,0.0099,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO),2020-12-05
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,,19.0,1927.7567,0.0099,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO),2020-12-05
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,,12.0,1214.95,0.0062,Axis Mutual Fund,AXISIFD,CRISIL AAA(SO),2020-12-05
Vajra Trust (20/04/2029) ,INE0S9015015,,30.0,64.4208,0.0003,Axis Mutual Fund,AXISIFD,ICRA AAA(SO),2020-12-05
Sub Total,,,,5137.4615,0.0263,Axis Mutual Fund,AXISIFD,,2020-12-05
Total,,,,187635.3589,0.9611,Axis Mutual Fund,AXISIFD,,2020-12-05
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4918.583,565.8368,0.0029,Axis Mutual Fund,AXISIFD,,2020-12-05
Sub Total,,,,565.8368,0.0029,Axis Mutual Fund,AXISIFD,,2020-12-05
Total,,,,565.8368,0.0029,Axis Mutual Fund,AXISIFD,,2020-12-05
Clearing Corporation of India Ltd,,,,3137.3249,0.0161,Axis Mutual Fund,AXISIFD,,2020-12-05
Sub Total,,,,3137.3249,0.0161,Axis Mutual Fund,AXISIFD,,2020-12-05
Total,,,,3137.3249,0.0161,Axis Mutual Fund,AXISIFD,,2020-12-05
Net Receivables / (Payables),,,,2663.2163,0.0136,Axis Mutual Fund,AXISIFD,,2020-12-05
GRAND TOTAL,,,,195225.94,1.0,Axis Mutual Fund,AXISIFD,,2020-12-05
7.34% Government of India (22/04/2064),IN0020240035,,9725300.0,9642.3724,0.3313,Axis Mutual Fund,AXISLDF,Sovereign,2020-12-05
7.25% Government of India (12/06/2063),IN0020230044,,6500000.0,6382.402,0.2193,Axis Mutual Fund,AXISLDF,Sovereign,2020-12-05
7.36% Government of India (12/09/2052),IN0020220086,,4800000.0,4847.0736,0.1665,Axis Mutual Fund,AXISLDF,Sovereign,2020-12-05
7.09% Government of India (05/08/2054),IN0020240118,,3000000.0,2922.966,0.1004,Axis Mutual Fund,AXISLDF,Sovereign,2020-12-05
7.24% Government of India (18/08/2055),IN0020250075,,2500000.0,2484.75,0.0854,Axis Mutual Fund,AXISLDF,Sovereign,2020-12-05
7.3% Government of India (19/06/2053),IN0020230051,,285800.0,285.8554,0.0098,Axis Mutual Fund,AXISLDF,Sovereign,2020-12-05
Sub Total,,,,26565.4194,0.9127,Axis Mutual Fund,AXISLDF,,2020-12-05
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISLDF,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISLDF,,2020-12-05
Total,,,,26565.4194,0.9127,Axis Mutual Fund,AXISLDF,,2020-12-05
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,1344.408,154.6615,0.0053,Axis Mutual Fund,AXISLDF,,2020-12-05
Sub Total,,,,154.6615,0.0053,Axis Mutual Fund,AXISLDF,,2020-12-05
Total,,,,154.6615,0.0053,Axis Mutual Fund,AXISLDF,,2020-12-05
Clearing Corporation of India Ltd,,,,1806.1404,0.0621,Axis Mutual Fund,AXISLDF,,2020-12-05
Sub Total,,,,1806.1404,0.0621,Axis Mutual Fund,AXISLDF,,2020-12-05
Total,,,,1806.1404,0.0621,Axis Mutual Fund,AXISLDF,,2020-12-05
Net Receivables / (Payables),,,,580.2987,0.0199,Axis Mutual Fund,AXISLDF,,2020-12-05
GRAND TOTAL,,,,29106.52,1.0,Axis Mutual Fund,AXISLDF,,2020-12-05
Interest Rate Swaps Pay Floating Receive Fix -ICISECPD (03/02/2026) (FV 25000 Lacs),,,,4.425,0.0,Axis Mutual Fund,AXISLFA,,2020-12-05
Interest Rate Swaps Pay Floating Receive Fix -IDFC BANK (03/02/2026) (FV 25000 Lacs),,,,4.225,0.0,Axis Mutual Fund,AXISLFA,,2020-12-05
Sub Total,,,,8.65,0.0,Axis Mutual Fund,AXISLFA,,2020-12-05
Total,,,,8.65,0.0,Axis Mutual Fund,AXISLFA,,2020-12-05
8.69% Tamilnadu State Development Loans (24/02/2026),IN3120150203,Sovereign,10000000.0,10064.0,0.0027,Axis Mutual Fund,AXISLFA,,2020-12-05
8.27% Karnataka State Development Loans(23/12/2025),IN1920150068,Sovereign,8500000.0,8510.8205,0.0023,Axis Mutual Fund,AXISLFA,,2020-12-05
8.27% Haryana State Development Loans (23/12/2025),IN1620150111,Sovereign,8500000.0,8510.812,0.0023,Axis Mutual Fund,AXISLFA,,2020-12-05
8.76% Madhya Pradesh State Development Loans (24/02/2026),IN2120150106,Sovereign,6714000.0,6757.6679,0.0018,Axis Mutual Fund,AXISLFA,,2020-12-05
8.22% Tamil Nadu State Development Loans (09/12/2025),IN3120150153,Sovereign,5000000.0,5001.1,0.0014,Axis Mutual Fund,AXISLFA,,2020-12-05
8.27% Tamilnadu State Development Loans(23/12/2025),IN3120150161,Sovereign,2500000.0,2503.1825,0.0007,Axis Mutual Fund,AXISLFA,,2020-12-05
8.22% Karnataka State Development Loans (09/12/2025),IN1920150050,Sovereign,1085000.0,1085.2387,0.0003,Axis Mutual Fund,AXISLFA,,2020-12-05
8.26% Maharashtra State Development Loans(23/12/2025),IN2220150154,Sovereign,500000.0,500.6345,0.0001,Axis Mutual Fund,AXISLFA,,2020-12-05
8.21% Maharastra State Development Loans (09/12/2025),IN2220150147,Sovereign,500000.0,500.1095,0.0001,Axis Mutual Fund,AXISLFA,,2020-12-05
Sub Total,,,,43433.5656,0.0118,Axis Mutual Fund,AXISLFA,,2020-12-05
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISLFA,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISLFA,,2020-12-05
Total,,,,43433.5656,0.0118,Axis Mutual Fund,AXISLFA,,2020-12-05
Punjab National Bank (18/12/2025) ,INE160A16SR8,IND A1+,20000.0,99811.7,0.0271,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (18/12/2025) ,INE028A16JY2,IND A1+,20000.0,99811.1,0.0271,Axis Mutual Fund,AXISLFA,,2020-12-05
Indian Bank (25/02/2026) ,INE562A16PX9,CRISIL A1+,20000.0,98704.4,0.0268,Axis Mutual Fund,AXISLFA,,2020-12-05
HDFC Bank Limited (18/12/2025),INE040A16GA3,CRISIL A1+,16500.0,82345.725,0.0224,Axis Mutual Fund,AXISLFA,,2020-12-05
Punjab National Bank (16/12/2025) ,INE160A16SP2,IND A1+,15000.0,74882.25,0.0203,Axis Mutual Fund,AXISLFA,,2020-12-05
Indian Bank (17/12/2025) ,INE562A16PM2,CRISIL A1+,11000.0,54904.025,0.0149,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (05/01/2026) ,INE028A16JI5,IND A1+,10500.0,52242.96,0.0142,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of India (24/02/2026) ,INE084A16FA3,CARE A1+,10000.0,49356.9,0.0134,Axis Mutual Fund,AXISLFA,,2020-12-05
Canara Bank (26/02/2026) ,INE476A16E95,CRISIL A1+,10000.0,49343.75,0.0134,Axis Mutual Fund,AXISLFA,,2020-12-05
Punjab National Bank (03/03/2026) ,INE160A16TR6,IND A1+,10000.0,49308.9,0.0134,Axis Mutual Fund,AXISLFA,,2020-12-05
RBL Bank Limited (25/02/2026) ,INE976G16OE1,CARE A1+,10000.0,49301.45,0.0134,Axis Mutual Fund,AXISLFA,,2020-12-05
Union Bank of India (03/02/2026) ,INE692A16IP5,ICRA A1+,9500.0,47042.2425,0.0128,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (02/01/2026) ,INE028A16JT2,IND A1+,8000.0,39824.76,0.0108,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (05/03/2026) ,INE028A16KP8,CARE A1+,8000.0,39432.72,0.0107,Axis Mutual Fund,AXISLFA,,2020-12-05
Union Bank of India (18/12/2025),INE692A16II0,ICRA A1+,6000.0,29942.88,0.0081,Axis Mutual Fund,AXISLFA,,2020-12-05
Indian Bank (19/01/2026) ,INE562A16NW6,CRISIL A1+,6000.0,29785.29,0.0081,Axis Mutual Fund,AXISLFA,,2020-12-05
Union Bank of India (27/01/2026) ,INE692A16IM2,CRISIL A1+,6000.0,29746.8,0.0081,Axis Mutual Fund,AXISLFA,,2020-12-05
Kotak Mahindra Bank Limited (15/01/2026) ,INE237A162Z2,CRISIL A1+,5300.0,26328.333,0.0072,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (16/12/2025) ,INE028A16ID8,IND A1+,5000.0,24960.65,0.0068,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (06/01/2026) ,INE028A16KA0,CRISIL A1+,5000.0,24873.625,0.0068,Axis Mutual Fund,AXISLFA,,2020-12-05
Small Industries Dev Bank of India (13/01/2026) ,INE556F16AY0,CRISIL A1+,5000.0,24845.375,0.0068,Axis Mutual Fund,AXISLFA,,2020-12-05
HDFC Bank Limited (12/02/2026) ,INE040A16HV7,CARE A1+,5000.0,24721.6,0.0067,Axis Mutual Fund,AXISLFA,,2020-12-05
Small Industries Dev Bank of India (27/02/2026),INE556F16BB6,CARE A1+,5000.0,24665.95,0.0067,Axis Mutual Fund,AXISLFA,,2020-12-05
Indian Bank (04/02/2026) ,INE562A16OA0,CRISIL A1+,4500.0,22279.1625,0.0061,Axis Mutual Fund,AXISLFA,,2020-12-05
Kotak Mahindra Bank Limited (11/12/2025) ,INE237A160Z6,CRISIL A1+,4000.0,19984.36,0.0054,Axis Mutual Fund,AXISLFA,,2020-12-05
Punjab National Bank (11/12/2025) ,INE160A16QL5,CRISIL A1+,4000.0,19984.26,0.0054,Axis Mutual Fund,AXISLFA,,2020-12-05
HDFC Bank Limited (22/12/2025) ,INE040A16HQ7,CRISIL A1+,4000.0,19949.94,0.0054,Axis Mutual Fund,AXISLFA,,2020-12-05
Indian Bank (08/01/2026) ,INE562A16NV8,CRISIL A1+,4000.0,19893.08,0.0054,Axis Mutual Fund,AXISLFA,,2020-12-05
IDBI Bank Limited (05/02/2026) ,INE008A16X73,CRISIL A1+,4000.0,19797.02,0.0054,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of India (05/03/2026) ,INE084A16FC9,CARE A1+,4000.0,19716.36,0.0054,Axis Mutual Fund,AXISLFA,,2020-12-05
Union Bank of India (10/12/2025) ,INE692A16IF6,ICRA A1+,3500.0,17488.94,0.0048,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (13/01/2026) ,INE028A16HK5,IND A1+,3000.0,14907.15,0.0041,Axis Mutual Fund,AXISLFA,,2020-12-05
The Federal Bank Limited (13/01/2026) ,INE171A16MR8,CRISIL A1+,3000.0,14905.965,0.0041,Axis Mutual Fund,AXISLFA,,2020-12-05
National Bank For Agriculture and Rural Development (17/02/2026) ,INE261F16959,IND A1+,3000.0,14823.6,0.004,Axis Mutual Fund,AXISLFA,,2020-12-05
Kotak Mahindra Bank Limited (18/02/2026) ,INE237A165Z5,CRISIL A1+,3000.0,14822.7,0.004,Axis Mutual Fund,AXISLFA,,2020-12-05
IDBI Bank Limited (10/12/2025) ,INE008A16Y56,CRISIL A1+,2000.0,9993.66,0.0027,Axis Mutual Fund,AXISLFA,,2020-12-05
Canara Bank (18/12/2025),INE476A16ZT9,CRISIL A1+,2000.0,9980.97,0.0027,Axis Mutual Fund,AXISLFA,,2020-12-05
Canara Bank (26/12/2025) ,INE476A16ZW3,CRISIL A1+,2000.0,9968.27,0.0027,Axis Mutual Fund,AXISLFA,,2020-12-05
Bank of Baroda (16/01/2026) ,INE028A16HL3,IND A1+,2000.0,9932.72,0.0027,Axis Mutual Fund,AXISLFA,,2020-12-05
Punjab National Bank (08/01/2026) ,INE160A16QT8,CRISIL A1+,1500.0,7459.785,0.002,Axis Mutual Fund,AXISLFA,,2020-12-05
